author_id,alternative_name_seq,alternative_name
5002007100,1,Paula Esnal Osa
5038015036,2,Xiaoyan Sun
5041174285,2,TA Warfield
5096302462,1,Mychel Jordan
5006443802,3,A. Lizardi‐Gómez
5065448522,1,Am Epaiiob
5020427296,1,Yu Min
5034028214,1,〔イク〕子 小室
5059648157,3,A.H. Alhamad
5061817800,1,L.‐W. Li
5091783824,2,A. Čeponis
5053512418,1,डॉ. सुरेश चन्द
5022037322,2,Tae‐Sik Kwak
5097260458,1,Faez Firdaus Je
5056797693,5,Amy H. Attaway
5026984992,1,Jeziel Pena Forte Lopes
5070843086,1,D Schmidt
5037784534,1,Surya Oto Wijaya
5006450378,2,Md. Monjourur Roshed Fahim
5031463456,1,Б А Клубов
5060129526,2,H. White
5099706590,1,Kailibinuer·Abulikemu
5101378931,1,Wei Qi Yan
5097989883,1,Siu
5051783218,1,Rajasekhar T.M.K
5004154714,3,Hyang‐ju Lee
5019891724,1,Triennale‐India
5036499131,1,護 酒本
5100622173,17,A. Awais
5052967813,2,Camil Joubran
5018729678,1,Jing Xi‐yong
5010253416,1,E Lynette
5002220653,2,A J Deck
5003300933,1,J. Roth
5087720978,1,Dennis Solid
5034621617,2,P. Amerlynck
5074415680,1,XU Zun
5100597001,1,Jie Liu
5027584715,3,Svetlana M. Puzikova
5095771885,1,Yiqiang Pang
5025132336,1,Henrique Menna Barreto Nunes
5054187846,2,Jemin George
5051318304,2,A. Gattami
5039836227,1,聡子 真野
5031757219,1,Manuela Parreira da Silva
5016888031,3,Jens W. Kück
5102137800,2,YI‐JIN ZHANG
5007155605,1,峻 菅原
5095588532,1,Canagasabey Canagasabey
5016125239,1,Alexis Mast
5101840415,1,Shi‐Zhao Ma
5040543927,1,Federico Vazquez Villa
5037490189,2,Clare Louise Horrocks
5028829297,1,Michael Arethas
5083226638,1,瑜清
5045682519,1,R J Coskey
5060104861,1,Anthony Adeseye Adeniran
5041759383,1,P Roudot
5045699945,1,Ángela María Sánchez Manjavacas
5051204290,1,A. A. Khan
5086713681,2,Rene Wellek
5033997997,1,M Fornara
5022391129,1,Robert Salehrabi
5032759456,1,riamahazaka
5061145262,1,M. Decuyper
5082382986,6,Mégane Bernard
5005252484,1,Perry Taneja
5089729407,1,Ch.P. Green
5074073133,1,James W. Houf
5089354828,1,Wilfrid Korffmacher
5097084824,1,Enzo O Macagno
5014569060,1,Claudine Moll
5020351986,1,J. M. Rau
5003155274,1,Д.Я. Чернов
5084189222,1,龍 松浦
5000136053,1,亮子 杉山
5076851492,3,Manuel Ignacio Bahamonde
5105960762,1,Fanny Sidqia
5007251616,1,Sandra Diaz
5095929162,1,Emine Büşra Yalçıntaş
5059936866,1,B. S. Cornille
5081407437,1,Мирослава Сосяк
5017250419,1,C. T. Lee
5047306172,1,А. А. Барковская
5088666793,1,Edinaldo G. Correa
5085365124,1,Pedro Saavedra‐Velazquez
5063482183,3,X.C. Tian
5057760991,1,Brian A. Kemple
5024831898,1,L. Navarro
5064708194,1,A. Boiko
5077312385,1,Megha Puranam
5024946320,1,Yanhong Chi
5008660813,1,岩原 紘伊
5041025663,1,吴言
5062488713,1,白羊座
5078530738,1,Tanja Ketola
5019316969,1,Helen Chasin
5014412059,1,LD Neto
5030003183,1,Luis Alberto Lera
5013066852,1,J. Siejka
5060232786,1,LiangZuopeng
5007278571,2,P. Pulik
5004331240,1,Lucy Wenham
5100307793,3,Liu Dongliang
5043778993,2,Yin Ailing
5092872275,1,晓玲 李
5068036724,1,CT Evans
5033408060,1,K. V. Gushchin
5006299224,1,Gabriel Arcanjo
5060770359,1,Cleamaria Simões
5037131855,3,Mehmet Bilgili
5102458156,1,Lauren Weiner
5044409483,1,Yemi Ogunbiyi
5049279419,2,Inês Moreira
5045051988,2,J. Tannahill Roy
5048995468,1,H Wadsworth Marc
5045047028,1,Paul Rodeghero
5090285148,1,Y. Tsukune
5000548645,1,Fu ChengYu
5064019726,2,Fatemeh Asadi Zeidabadi
5024988224,1,N. Li
5034348165,1,Y Fournajoux
5100524590,2,Xueying Gu
5001744599,1,Chia YuYao
5035211357,1,김유준
5063364111,2,Zachow Stefan
5009015213,2,Rogério Pereira Fontoura
5080143655,1,张志琴
5000176864,1,Polo Tran
5098474680,1,Ronald C. White
5091720776,2,M. N. Harbottle
5023721164,2,A.R. McCleary
5014105234,5,Katrien Verleye and Arne De Keyser
5012484517,1,Waqif
5063931210,1,H. F. Raynaud
5088445069,1,Do Conover
5093359707,1,Tim Nesheim
5020721701,1,Hao Shaona
5084747904,1,Nereida Albert
5036968631,1,Ana María Huerta Molinero
5078060594,1,Neculai Ciornei
5055487368,1,憲男 河田
5033101577,1,Mei Li Mei Li
5100829801,3,Xiaoguang Zhu
