institution_id,associated_institution_seq,associated_institution_id,institution_relationship_type_id
4210153228,1,4210104634,1
4210089124,3,39804081,3
4210119924,1,4210151503,3
4210104197,1,22248866,3
4210138838,1,3018075036,3
4210156953,1,4210162628,4
2802074625,2,32971472,4
1288162130,3,188538660,4
4210118621,1,4210152943,1
4210112405,1,127558574,3
2799425988,1,1293052470,3
108650528,1,4210158714,3
4210134676,5,4210161254,1
4210145821,1,4210100260,3
4210146787,3,4210096427,3
4210113060,2,4210088024,1
4210135751,1,1338503839,3
39804081,36,4210137787,1
4210124807,1,4210097159,3
4210160682,1,72816309,4
82514191,1,4210103342,1
1340206300,12,4210125149,1
4210090030,1,4210132643,1
4210105566,1,45711476,4
4210091114,1,99542240,3
4210096427,56,4210087293,1
124357947,20,45129253,1
21028721,1,4210125500,4
1332460256,6,4210154569,1
23923803,3,2801242002,4
4210156393,1,4210145038,1
48825208,5,4210117271,1
4210137744,2,4210150872,3
4210087105,1,2802071675,1
2738703131,14,4210151160,1
1333636663,1,1327163397,3
4210118577,1,4210161429,3
4210143751,1,183367347,3
60134161,1,4210090647,4
1327163397,3,2801702165,1
79620101,3,4210099013,4
2828035507,1,4210127756,3
4210155062,2,4210095849,3
4210143637,1,4210086512,1
190861549,8,4210101535,1
100930933,12,4210115218,4
4210087977,1,4210148570,1
170138621,2,4210146992,1
4210161091,1,1316184350,3
4210127917,3,90669466,3
4210160418,4,4210102330,1
4210156572,2,4210102448,1
4210137787,2,39804081,3
4210123810,1,4210113060,3
71999127,2,2802050225,4
4210090554,1,2800394112,3
4210088544,2,98702875,3
4210164122,1,118347220,3
4210135875,1,4210128300,3
4210159963,2,106887733,1
4141589,6,4210107757,4
198244214,3,4210138126,1
4210156018,1,4210165148,1
4210152387,3,188626449,3
134820265,22,4210138819,1
4210086519,8,4210114539,1
4210133602,4,79238269,3
4210139971,9,4210114748,1
4210108480,1,141649914,4
4210110680,1,4210126839,3
2801952686,1,4210142620,1
1342131907,12,4210100606,1
4210124779,27,2801820245,1
4210114863,1,4210124274,3
4210118047,1,154526488,3
111236770,3,2801371488,4
4210086828,6,1311060795,3
4210115149,1,188950975,3
4210125489,1,4210153215,1
4210104174,1,4210113968,3
51296178,1,4210122102,3
149899117,47,4210087042,1
4210115724,1,106965489,3
2801053641,1,62657347,4
4210127572,1,2802519937,1
4210167168,3,4210131823,1
26080491,4,4210091843,4
4210159208,1,4210152142,1
4210108691,2,125749732,4
1307091933,1,4210148664,1
4210159135,1,114073160,3
4210089824,2,4210088668,3
114432228,1,2800319184,4
4210121906,1,4210150854,3
4210115807,1,4210113540,3
4210117963,1,1292669757,3
2799377600,2,129604602,4
219193219,1,2800461586,1
149851306,54,4210135848,1
84653119,7,4210092384,1
4210096417,1,80251312,3
1320343167,9,4210119340,1
2799693246,8,4210098105,1
68947357,1,4210128885,1
4210140816,1,4210142028,1
4210097564,1,910227697,1
2799734910,2,868834043,4
4210120099,1,4210116233,1
4210167054,1,2800991832,3
11947397,4,147602599,1
4210100855,1,4210147032,1
127110123,1,4210102985,4
4210154818,1,4210102969,1
4210099042,3,4210103317,1
138211613,4,4210127611,1
4210158834,3,4210153173,1
4210118089,2,4210133463,1
2801316944,1,4210106471,1
2800936089,1,129604602,4
4210154071,1,2801498763,3
4210133846,1,20231570,4
100625452,1,4210110772,1
184490438,2,4210115484,1
4210148493,1,4210165492,3
1301669915,2,262026596,1
91786662,1,4210149439,1
4210138094,3,4210088410,1
4210105383,1,4210102465,3
4210096667,1,4210120960,3
141953991,1,179420787,3
4210138893,4,90669466,3
51556381,5,4210119250,4
180585399,1,4210137700,1
4210130773,4,2800436722,1
4210143683,1,2801636071,3
19820366,124,4210106808,4
4210093964,1,20231570,4
4210117222,1,4210143731,3
4210096219,1,19820366,3
4210101539,1,4210129631,3
30771326,13,4210110987,1
9736820,1,49663120,3
4210136599,1,4210088187,3
4210125186,1,148314036,3
2799662587,2,4210164945,1
160013858,18,4210163778,1
137614889,3,4210141930,1
4210104008,1,4210138501,3
113428412,13,4210088702,1
4210100008,1,193427800,3
138285227,1,4210139951,1
201841394,2,4210139825,1
1299164729,1,1292875679,3
63966007,4,4210122954,1
4210088668,29,4210103063,1
80845501,1,75171615,3
4210118150,1,4210099368,3
102471911,1,4210119054,4
4210106721,1,4210150581,3
82951845,3,157358134,1
4210092429,3,4210113657,1
4210150157,1,4210130986,3
2800314713,1,2800756461,3
66760702,11,112576028,1
174216632,20,47807954,1
4210146726,2,4210117091,3
4210127756,17,4210111333,4
58956616,7,2799501412,4
220840466,1,2801758192,4
1283582996,24,4210129647,1
4210104225,2,3130805194,4
4210133643,1,4210130108,1
4210091341,1,1283582996,3
4210088668,72,4210162532,1
4210160774,4,4210156412,1
17747738,2,4210121586,4
4210094549,2,201448701,4
4210108049,2,4210158181,1
37400270,1,4210163509,3
4210127615,1,4210111617,3
4210142638,2,1343035065,3
4210099563,1,315704651,3
4210142027,1,35662394,3
98702875,10,4210110254,1
4210115873,2,4210096427,3
4210100814,1,67339987,3
4210149672,2,131077856,3
1302444339,5,1327576362,1
2802546398,1,37076085,3
4210120228,10,4210098167,1
2801688508,1,129604602,4
226431899,10,166813715,4
4210126424,1,4210118014,3
46896759,1,2800474951,4
170897317,2,4210126319,1
2800043709,2,2800993931,1
4210103856,3,4210108554,1
2801559191,1,1334903100,1
4210095065,2,4210109765,1
1313313744,1,2800421839,3
21491767,44,4210110037,1
168635309,5,2802418778,4
4210153402,5,111268130,1
2801315873,2,136199984,4
106785703,10,4210145979,1
1283582996,18,4210124465,1
4210159900,1,114030911,3
4210100075,1,4210099692,3
4210125600,1,2799506148,3
4210129801,1,4210145274,3
51314090,1,4210138112,1
4210128300,70,4210093067,1
1341412227,2,4210167072,1
1313323035,34,4210105697,1
4210127926,5,205944377,1
1280581677,1,1296703163,3
4210114040,1,4210132020,3
4210128615,3,4210152895,1
4210086977,2,204730241,3
112289208,6,4210097535,1
4210088426,1,12832649,4
34770199,1,4210153315,1
885143765,6,4210165326,1
205092303,5,4210100301,1
114027177,9,4210123841,4
4210156467,1,4210109527,1
198415970,2,4210118234,1
4210104402,1,4210141158,3
4210161078,1,4210132412,3
3211005485,2,2801837019,1
151201029,31,4210136977,1
1317227900,7,6059380,1
4210158892,1,4210155236,3
4210125364,3,4210108873,1
4210093932,6,4210117413,1
91221267,1,3039783501,1
4210155736,1,174947986,3
4210091056,1,118185606,3
4210108315,1,168537998,3
4210093039,1,164861460,4
1311060795,2,2799411422,1
4210108285,1,82495205,3
2800421839,9,4210120288,1
4210150854,27,4210100624,1
4210114547,1,2802373619,3
4210092064,1,2799452589,3
84653119,21,4210136969,1
4210090180,1,4210139802,3
4210110850,1,149899117,3
4210109911,2,150468666,3
1290491151,5,2801339556,3
4210160522,1,4210138501,3
4210121297,1,106745318,3
4210134948,1,4210113937,3
4210120069,2,4210127388,1
123791789,4,4210159753,1
4210126499,2,87048295,3
4210140055,2,106785703,3
102401767,2,2799691083,3
4210106425,1,4210119369,3
1285764155,7,4210113778,1
4210140493,3,881766915,3
4210112706,1,3131982239,1
2802707398,3,57206974,4
4210127808,4,4210125727,1
204710742,7,4210158498,1
4210086158,1,4210095849,3
4210151549,1,4210133775,1
4210158385,1,47519274,4
1343052199,39,4210165405,1
4210102902,2,2799303376,1
21491767,11,4210093936,1
4210154618,1,1286962768,1
86767153,22,203339264,3
4210114908,3,201841394,3
4210131832,1,4210096569,1
4210120689,1,4210145692,1
4210136104,1,4210142286,1
4210095710,1,4210118777,3
2802941338,1,919953467,3
4210138940,20,4210116662,1
4210145351,1,1320553840,3
99542240,25,4210119107,1
74316835,6,2800993576,1
4210146657,1,902626582,3
4210086567,1,177436651,4
142262071,4,4210117718,1
4210125676,1,2799978770,3
4210120109,1,134820265,3
37076085,31,4210136517,3
4210102735,1,42131985,3
16452829,10,162577319,1
4210127675,13,4210157115,1
27837315,3,4210130704,1
4210126889,3,159885104,3
83558840,5,4210106487,4
4210105688,1,4210164250,1
4210104674,1,4210113772,1
2801242002,1,2799452589,3
78577930,5,1305782762,4
4210126091,1,110525433,3
4210116450,1,4210129336,3
4210088555,12,4210102319,1
2802556819,1,2802080466,3
4210094216,1,4210128167,3
2801551368,1,4210139687,1
84392919,5,4210117083,4
2801863688,2,31746571,4
4210158677,1,4210164537,3
4210150086,5,4210147170,1
2799726393,2,4210104666,1
1287163989,2,2801671727,4
4210137854,1,2948728702,3
4210123595,7,4210103322,1
4210145217,2,124055696,3
1305996414,14,4210124929,1
4210154148,1,4210111617,3
13469542,2,4210140355,1
2799712879,2,149704539,4
142476485,20,4210098568,1
4210096427,55,4210120427,1
4210088668,15,4210108720,1
4210161484,2,4210095849,3
4210107193,1,4210093997,1
4210166427,6,4210129650,1
98677209,10,4210166564,1
2279609970,8,54006703,1
4210097159,18,4210124807,1
107920810,1,4210167263,1
2802464121,1,4210138671,1
134820265,38,4210134458,1
4210114099,2,4210121437,1
4210128198,1,105036370,3
4210156754,1,5681781,3
4210153141,2,4210096427,3
4210138667,1,4210166444,3
4210111960,1,4210098836,3
4210086338,1,4210128300,3
4210093867,1,1295703814,1
4210148720,1,141816643,3
125029298,2,4210102330,4
2802601309,2,99043593,4
145311948,9,4210098865,4
4210092165,1,4210134808,3
2799693246,2,4210100714,1
4210138446,1,4210116361,1
4210153175,1,142476485,3
112936343,1,4210165635,1
202391551,60,4210115479,1
2802772831,4,2800123788,4
4210145274,7,4210159686,1
4210155509,6,4210123714,1
4210160590,1,4210155998,3
4210095713,1,157913058,3
4210124347,3,4210098742,1
4210142464,1,4210087957,3
4210157170,2,150653062,1
4210117495,4,4210111823,1
2802729160,2,4210095817,1
4210155116,5,4210104630,1
4210152752,9,1317634868,1
2802080466,3,4210096583,1
1337719021,20,4210141709,1
4210103254,2,4210110412,3
4210110652,10,4210150921,1
135117807,6,4210105070,4
197251160,4,2800052317,4
4210143477,1,1292669757,3
4210115082,2,4210154894,1
4210112165,2,102516824,3
4210165315,1,26080491,4
4210162654,1,74680897,3
4210086839,1,4210138788,3
4210141144,1,4210117863,1
182627622,5,4210094590,1
4210099013,1,4210153908,1
39555362,1,2799529266,4
44892455,15,4210147578,1
2800006345,1,4210138276,1
4210142729,1,1342911587,3
4210153663,1,4210096333,3
48430043,8,4210115277,1
4210139005,1,4210138501,3
1313416372,8,1336096307,3
4210121077,1,207624831,3
4210092021,4,4577782,4
4210155891,1,170201317,3
4210106186,1,4210120960,3
119522612,1,4210162534,4
4210101455,5,2738703131,3
4210135074,1,4210099984,3
1289490764,9,1330589705,1
4577782,1,4210155076,1
154425047,3,4210137841,1
4210123682,1,41156924,3
4210135230,1,73613424,3
4210102755,1,4210087694,3
4210100721,1,4210139293,3
2800958632,4,112936343,3
4210104593,8,4210100748,1
4210130390,1,4210165043,3
315704651,28,3178478377,1
2800993931,1,2800043709,3
4210111876,2,2801887358,1
4210096427,15,4210113016,1
4210166773,1,4210090003,3
4210141055,3,4210107625,3
315704651,59,4210123355,1
4210117750,2,2800804238,3
4210093804,1,4210114146,1
4210124897,2,4210090924,1
4210163724,1,122411786,3
1321649718,2,165779595,4
2802787992,1,2801269068,3
94975175,1,4210166285,4
4210091717,4,4210166444,3
4210143657,1,4210085889,3
4210113251,1,2802388269,1
4210159575,1,24943067,4
159176309,1,4210143371,1
118019719,17,4210101729,1
4210125068,1,4210095782,3
4210122019,2,4210097882,1
70922119,1,286135121,4
45438204,1,16452829,3
2800921988,3,4210126347,1
4210089705,4,4210147690,1
4210164537,2,4210092536,1
1308126019,19,106745318,1
4210134808,11,4210153536,1
2801016480,1,2799797123,3
4210143392,2,2801219303,1
1293487830,1,54713919,3
4210107616,1,4210120228,3
4210119922,1,1343052199,3
2802637297,1,169248724,3
4210166444,3,4210137420,1
74680897,2,4210145419,1
4210160199,1,2800621266,3
2801717407,1,1286959531,3
1327163397,36,122713931,1
98910050,12,2746051580,3
4210130909,1,1307034911,3
4210095179,1,132943300,3
4210127984,1,109556086,3
