work_id,keyword_seq,keyword_id,score
3167986453,1,54854,0.545602
4232881225,4,20880,0.438392
2059599816,5,41988,0.505573
2785444720,3,59042,0.567878
2404851249,1,32816,0.651009
2594400055,3,38456,0.5781856
2010696282,6,52533,0.4164369
1943727531,4,6818,0.517824
4237928903,1,70198,0.470571
1999715834,3,26004,0.491837
3125196829,5,64565,0.553044
2034345989,4,48220,0.45674768
4322744854,2,19858,0.486294
1885996600,4,1192,0.526375
4400313443,3,12392,0.620331
1511692220,1,59563,0.46876
2811365497,1,60814,0.466594
4392769693,1,67495,0.535747
2735462205,1,61500,0.743042
4256118474,1,8143,0.437906
4245894173,4,39847,0.512027
2549130037,2,12616,0.558804
4248041851,1,22852,0.595303
70193432,6,50514,0.628011
4385223808,7,23420,0.516498
3190614884,5,65869,0.44174144
4307416527,10,9930,0.527528
4230147354,2,42078,0.86007214
1994537683,3,58434,0.511272
4256118967,2,23795,0.500525
2002380867,9,9915,0.41134825
4386100689,4,36248,0.43009734
4246113857,2,45047,0.597607
4399172848,1,56164,0.574971
1421961278,3,31014,0.455736
1840958363,1,22185,0.8581353
4249311467,1,27091,0.70972496
2949414907,1,67135,0.563877
1011911347,4,34242,0.555299
4285118034,1,64533,0.548183
4235539605,3,12812,0.46874478
2143532069,1,2465,0.84254754
2151171591,2,67176,0.551287
3208741775,4,29327,0.512468
2733697566,1,40205,0.7507466
3199924702,4,46064,0.509519
2604161575,1,57499,0.618858
4401019126,2,3451,0.563012
2070983770,3,25085,0.5624281
4206251588,3,55710,0.473337
3003155317,4,16000,0.520185
2039785767,8,44716,0.41695082
2389781308,5,10390,0.4415425
4244217116,3,51838,0.652884
1578337047,2,21563,0.438559
2953079385,2,47022,0.61875206
110976311,2,9948,0.569072
2512633930,5,37196,0.583314
4397905722,2,13671,0.668269
2727983399,3,28461,0.5004163
4398598527,1,40225,0.6194879
2500606171,1,53877,0.445841
1560338899,2,50631,0.492563
2585603886,1,17707,0.6330875
4247159751,1,46932,0.8552456
3102465199,2,12455,0.48859364
2025237912,1,22657,0.79965997
592515467,4,37196,0.506703
4230016024,1,40482,0.5638
4317715888,1,46055,0.544204
2591559043,3,19858,0.545646
4367297963,1,63598,0.8780285
2890226616,1,57824,0.542127
2032766994,5,69660,0.48408854
2595975801,3,16864,0.5738517
4392667972,1,34620,0.453354
4205102497,3,58564,0.538721
3136268380,5,14393,0.512195
2920151651,2,39060,0.526619
1984411679,7,41597,0.500953
