concept_id,ancestor_concept_seq,ancestor_concept_id
51255272,7,54355233
2779300254,2,119599485
87343466,6,192562407
2779862270,11,62520636
2986283658,3,163258240
2911203908,2,159654299
2910584470,8,15744967
2781094566,1,2780130748
147108130,1,523993062
2777499651,2,2778719061
2780981397,7,121332964
14591024,2,102999125
81843906,5,121332964
2777824588,7,121332964
18547055,1,162324750
2778235839,6,126322002
2779425043,10,71924100
181168301,3,2776943663
111853940,7,134018914
30305156,2,157764524
94919774,3,199539241
2984330395,3,140345934
2780910938,5,17744445
2779033064,8,46141821
2781414804,2,86803240
537492667,10,138885662
2776950831,2,55493867
165480597,2,100906024
103504046,8,15744967
2779670156,4,18903297
2779761714,1,59822182
2777672014,4,41008148
2775904910,12,127413603
46275449,5,127413603
2985322473,2,54355233
2775952470,15,86803240
65177555,5,178790620
2780233296,1,38652104
2781068581,7,71924100
2776284039,1,124952713
109116516,3,115961682
2778923194,5,55493867
100882016,2,153209595
51296783,1,202751555
63338738,1,161790260
32360154,4,181622380
22783969,3,121332964
97505648,5,89423630
137824038,1,179104552
40336117,3,127413603
72773152,2,154945302
2778514511,3,199360897
2776153327,3,153294291
2776808119,6,54355233
64894306,3,54355233
2777447553,2,2778093475
40117563,2,184651966
132369183,12,17744445
131021393,7,76155785
11054436,2,154945302
116254018,1,2777953023
106030495,4,98045186
2910597130,2,2993802102
80156102,7,41008148
525541732,8,71924100
2777939402,5,118552586
161221295,1,59822182
122308676,2,2778813691
80782408,6,126322002
76959184,3,78519656
104708988,6,18903297
31532488,4,126322002
2908924797,4,142724271
512564126,1,38652104
155843905,5,114793014
2776759754,1,2778435480
11608111,2,185544564
123935176,3,127413603
2993581349,3,162324750
2777575177,5,54355233
192939062,3,23123220
3019706980,8,71924100
182707283,1,156719811
178485925,6,44870925
2909731932,2,71928629
195592935,5,73648015
2781377902,6,54355233
165254790,6,86803240
2776812111,6,138885662
2909524538,6,86803240
2992103866,3,169760540
2777359526,5,71924100
2778907293,3,54355233
2776251621,3,203014093
2778650826,1,2779134260
2776737515,2,41895202
206684579,9,121332964
153465999,3,147789679
60723119,5,67705224
2781090866,6,54355233
129070979,9,121332964
112128483,4,202444582
2779106483,3,136764020
66562760,9,32909587
43060935,6,55493867
2780004239,12,144133560
2776462828,10,100001284
63931686,9,97355855
134659918,3,1491633281
2778651837,6,29456083
2994140446,2,2986740045
125198404,1,37914503
144822601,2,97355855
196594336,9,159047783
118776929,6,126322002
200830176,2,104317684
169886505,3,18903297
2777403493,3,55493867
5260166,3,2780584874
2779200604,5,199343813
2777757664,9,537208039
2779308522,2,76155785
19927201,4,178790620
2776540679,5,501593827
2779903241,2,126838900
2993932171,8,505870484
69497775,8,190463098
2778266373,1,141035611
2775851010,5,185592680
178549432,8,162324750
2991684624,1,147583825
120894424,4,33923547
197417287,7,192562407
193429443,7,165205528
175732170,8,54355233
2779475777,7,185592680
2779474108,5,86803240
2780124434,7,54355233
195475562,6,71924100
162307627,1,154945302
2780581805,1,142724271
182843373,7,185592680
2780473352,8,71924100
2779316324,1,2776694085
195064531,1,55447825
73523448,3,178790620
2987567764,2,138885662
2775993764,4,71924100
2910216234,3,54355233
148280534,11,62520636
157972887,2,2524010
44859942,8,41895202
2992194453,6,119599485
2777866328,2,42219234
161368742,8,192562407
200111062,2,153349607
3017689999,4,126322002
2778548054,6,15744967
161657702,6,15744967
152948882,3,105795698
199837984,6,97212296
2779634684,1,161790260
50156730,5,55493867
101518730,3,62520636
2992770910,1,187736073
195330766,1,110872660
2777117138,2,2778830712
551646850,1,29829512
75233609,7,145148216
153195114,12,62520636
183383400,6,151730666
2777917747,2,55493867
2781194970,3,159985019
61391473,2,29456083
2776364125,3,127313418
191555408,2,75779659
2909862400,4,185592680
2780751777,4,178790620
2779008113,6,185592680
200707615,8,86803240
83633838,2,31972630
2779299062,2,2776697845
160351604,7,196843134
3018553130,3,138816342
42251679,2,104317684
193690875,3,89631360
111374699,10,185592680
48798503,2,36289849
2780586355,1,107966497
151552104,5,199539241
