raw_author_name_id,raw_author_name
31512208,Ignacio Roa H
16813046,Dave T. Clarke
43565803,Lavrinchuk BIa
56723686,Nimisha Soni
72220112,Stefano Cacciatore
43214049,Lara Heberle
4537396,Alyaa Elrashedy
95638167,Dhammika Dolawattha
36904488,John K. Whitfield
102119693,Ryan Statton
37643057,Jose Miguel Torres Garfias
28857816,Hanson H. Anderson
27669746,Güzide Uysal
5107562,Ana Paula S de Azevedo
17737586,"Devore, Charles E"
74121080,Taeko Yumoto
20950547,Ellen Dantas
71588506,Sofayan
45458465,Lucie Jubert
55752604,Natalia N. Tsvileneva
99757891,MythriKuthagale MuddeGowda
52597648,Michelle Newhart
59140081,P Alanen
15490119,D. B. Krafft
12300540,Carmen Luwes
14250579,Cigdem Erbug
26329671,Getachew Fentahun
98079141,KA Eddinger
36505495,Joanne R. Przybyla
51730550,Meghan Donahue
101674671,R Bagdon
48972795,Marcelo Nicolas Muscará
57324305,None N S Harini
100872698,None Tiezhou Hou
74555990,"Tars, Kaspars"
2316903,Abri O
55434920,Naima Amrani
95949858,E.A. Kataev
73430778,"Sznajder, Maciej"
71835458,Soo-Sun Park
1606222,A.B. Qureshi
84226631,Галина Юріївна Дерман
23661311,"Ferreira, Ricardo,"
90490796,李加福
90601237,杨伟红
13386756,Cheng Chuan-xu
65535696,Robert Jinze Li
21199505,Émilie Myriam Roy
102593497,Shreelekha N. Desai
31237134,I.A. Modin
23536401,Feri Ali Tosa
24813326,G R Xavier
14845702,Corley C. Pruneda
64854040,Reyes Mogollón
40369290,Katja Mors
32308421,Ismail Hakki Timur
902049,A. Gundroo
92886314,郭璞
30817764,I CESARINO
72296841,Stéphane Lefeuvre
2234842,Abelardo Sotelo
37907563,Joshua L. Fuqua
1532721,A. Yu Kazimirov
55904714,Nathanael Lauster
101459106,Paula Kalksma
64699983,Renata Longhi Sassaki
38210046,Juana Hinostroza-Sayas
75524756,Tim Thornicroft
21885337,Estanislau Roca Blanch
30490541,Huang Yizhon
67758424,S. Usicenko
65598000,Robert S Bodroghy
99035009,Macedo F3
35051595,Javier Casillas del Moral
522929,A W McCue
15319481,D J Chrisp
98759198,Luuk  I. B. Heckman
39931414,Karin Stoerl
72504337,Steven K. Nikkel
73792339,T. M. McLoughlin
67504647,S. Louise Gould and Franklin Gould
34588767,James Shipman
61316515,Petra Đumlija
26709754,Gladys Buruwaa Nuamah
61462460,Philipp Kristian Diekhoner
87344892,유키 미야모토
25884829,GC Prabhakar
67831036,S.A. Hamilton
52851418,Milana Miloenko
100140829,None CAK 33
63094671,R. M. Chaves
41560177,Kokou-Placide Agbo-Kpati
97937907,Ju-Hyang Park
38830944,K Boparai
53862156,Monique Graf
102210000,S. Bakhshay
19534065,E. J. M. Nascimento
20261918,Edward K. Barnes
56542802,Nie Zhi-hon
68123307,Sabine Mitter
95416119,D. A Mulrooney
756756,A. D. Soltabaeva
77355284,V.W. Hartmann
62887113,R. Confortin
90201321,日秋俊彦
48543300,"Malika Khisabidinovna Umarova, Abdisharipova Shaydo Bakhtiyor qizi"
70978241,Shyan-Kay Jou
81409373,Ye-Tao Li
12745176,Cecilia Menezes Farinasso
89357225,将典 菅野
96827556,H. Bosmajian
20405885,Eileen Heanue Bogue
82722835,Zefanya Leopenoe
46845314,M. Fishazion
13011143,Chanelle Fairlene. Pillay
31703014,Imai Soichi
61281191,Peter Vere-Jones
52383907,Michael P. B. Otis
18024172,Diekmann Simone
54500466,Mustak Ahammed
13743041,Chris Addington
14246665,Cielo Sulay
76822783,V Murbach
2815887,Agnieszka Jakubczak
78323996,Violaine Chavanne
76490953,Udayakumar Anandan
20847442,Elizabeth Bent
28626782,Hamna F Iqbal
26282543,Germán E Rueda
41260708,Kimberly Seymour
92437228,裕子 一橋
3571821,Alejandro G. González
73075856,Susan Quartuccio
94720961,Benjamen J. L. Burton
95601652,Delphine Sidieu
35717193,Jerome Herbers
84420919,Е. Даскалова
49094346,Marcos Aurélio Lopes Fabiana Alves Demeu
28619543,Hamish H. Johnston
97506611,J.C.M. Prado
59453702,P. E. Hollings
76171296,Trung Nghia Nguyen
73748872,T. Jivraj
58813453,Onodera Hideaki
77725191,Vaso Papavasiliou
40442667,Kavita Malviya
14411753,Claude Burul
82621193,Zainal Nurhafiza
42940633,L.M Mitchell
12833445,CEORGE HAMMERSLEY
20280092,Edward S. Koniecko
13648194,ChisatoMiyaura
45804480,"Lung, Phillip"
60891191,Pedro Antônio Laguardia Grossi
81929642,YU Ying-hu
59350545,"P, Eshwari Rao K"
11566979,C.A. Lobo Barrero
37824659,Joseph Makarewicz
23656368,"Ferrans, Carol"
24327377,Frankiewicz A
65921263,ROGÉRIO VEIRA LIMA
58499713,Olanipekun Samson Oyewole
70785836,Shogo Yashiki
1645602,A.-E. Christensen
3325740,Alain Postal
20072661,Edgar Von Voltmer
14551787,Clemens Breuer
17423323,Delerue C
43209559,Lara Bochmann
70857428,Shruti Kolli
7262247,Arturo F. DomÃ­nguez-Pacheco
2109993,Abdolvahed Kaabi
6482802,Anouk Zuurmond
51823261,Meimei Alessandra de Oliveira
8409667,B. Sanchez-Laorden
15606548,D. Grabitz
33827681,J.E.C. Williams
18321932,Dmytro Kobaliya
85605824,Санников Ю И
1297604,A. R. Lind
42393964,L Podeur
64421051,RC Parslow
23546219,Fernand Chalandre
1777663,A.M. Domínguez Mayoral
69977346,Seung-Myun Baek
100716811,None Rachmi Fauziah Rahayu
88895324,埃德温·摩根
58195588,O. Root
51061007,Massoumeh Janghi-Golezani
77183181,V. V. Barve
55257931,Naajia Nur M Isa
87605127,三郎 浦幸
40664945,Kelly Dayany de Souza Pará
84838296,Л. Г. Мартиненко
3073217,Aili Shi
74187085,Taizo Kuribayashi
50464662,Marlene Martínez
38937109,K P. Rao
38915328,K Magdy
46213472,M J Février
16203806,Dalia D Kaye
19546920,E. K. Lehmann
98416777,L Twist
16434786,Daniel Krimm
45575475,Luís António Fernandes de Oliveira
64205558,Raquel dos Santos Pimenta
103779966,Yoshihiko Tohda
67874284,S.D. Zaytsev
34507383,James Gillespie Gilmore
35036497,Javad Raisianzadeh
41481663,Knezevic Z
12586270,Catalina Del Campo
26866663,Gomez-Arbones J
16397473,Daniel Fredrickson
37333660,Jorge Jimenez Portillo
92426282,裕 石渡
1696792,A.I Shlukov
77054661,V. Lukianov
41487297,Knud Hensch Stephensen
66168595,Rörby C
94932684,C P C Soh
16685300,Daphne Vialan
34758088,Jane Gornischeff
49445675,María del Rey
43645347,Léa Barrault
32894009,J Schwart
9487518,Bernal Herrera F.
31459301,Idänpään Heikkilä
69480219,Scott Pokorny
18221516,Dirk Quak
5294711,"Andanson, J.M."
91957619,繁 上田
4444781,"Alonso, Pablo J."
39805691,"Karakılçık, Mehmet"
58600575,Olga Pânzaru
102620202,Signe Skovgaard Hansen
84409626,Е. А. Шарлаева
65686543,Roberto Masaishi Yoshikawa
68603158,Samo Masleša
3808734,Alexander Klementev
24832299,G Sierra Gonzalez
85509549,Рябцев Петр Алексеевич
79888339,William Michael
5831418,Ángel Luis Alonso-Gómez
98726598,Lueny De Moura Veras
15404766,D S Celermajer
43082179,laili rahmatul ilmi Ilmi
65936871,Rohini S. Zambare
39096952,K. G. Ilin
34868209,Janna Michelle Andronowski
23031400,Fakiha tus Salam
3351345,Alan Gelb and Nabil Hashmi
99058545,Mahani Mohammad Abdu Shakura
4084946,Ali Aldaoud
38400735,Julián Ernesto Pérez Hernández
22192581,Even Fiske Guren
56992589,None Ali Abedi
87772362,亜希菜 仲眞
25689457,Ganghua Ma
51821284,Meilina Sari
97271124,International Standard of Care Committee For Congenital Muscular Dystrophy
20852733,Elizabeth Carpio Rivera
20268182,Edward M. Harding
103105255,Ting‐L. Lin
74995384,Thaís Daltoso da Silva
7549934,Atamurat Shamuratovich Kuchkarov
52685197,Miguel Angelo Valle Bastos
65117431,Richard S. Nicholas
9685027,Bhagyashree Pani
45652633,Luis Mauro
76809596,V Liabeuf
71471846,Skeljo
90973197,毅史 岡田
80034254,Wissam Dehina
80971905,Yamada Youhei
8013645,B Devranoglu
100511144,None Letí­cia Silveira Goulart
42752955,L. R. Beason
7155181,Arquè Bertrán Jm
58924085,Oscar A. Masciarelli
11008900,C M Cardozo-García
76813103,V M Jemin
207231,A Geyssens
44161678,LI Fang-zhan
2590686,Adolfo Martín García
5895618,Angela Thums
24627429,Fu-Quan Yin
56591710,Niken Ayu Arumsari
59360992,P. A. M. de Oliveira
39675263,Kamela S. Scott
47617886,M.C Andral
56834795,Nitya Ghatak
53880806,Montagnani Am
5394662,Andre Monteria Rocha
75512416,Tim Hsin ting Hu
19668934,E. Poimenidi
75357974,Thomassee
19273912,E Raiber
50564640,Marta Valdivieso Rodríguez
90552110,李翀宇
60640635,Paul R. Haut
29115262,Hasnere S
69788192,Serafini-Cessi F
60744108,Pauline Jordan
66722410,Ryan Avenatti
47407841,M. Stöbe
77535357,Valiolah Mozaffarian
32448112,Ivan Pavić
916438,A. H. Zeytonli
78632322,Vsevolod I. Khomenko
89506670,岩倉ちい子
17528686,Denisa Barinova
98931479,M. I. Abu-Dzhabal
9163034,Beauchamps
2431804,Adam Urbaniak
70352481,Shaun P. Appaduray
58069229,O. Ajiboye
65716079,Robin G.A. Edwards
96072356,Els A.D. Bakker
51407504,Mauro F. Santos
43114722,Lakshmipuram Seshadri Swapna
24776650,G Madarassy
33613639,J. Soltyk
36746631,Johannes Foechterle
13547760,Chi-Chang Tsai
21749162,Ernest G. Glastris
55256658,NA Zalloum
32420926,Iván Calderon
52048356,Mercedes Gasque
17558610,Deniz Akagündüz Akgül
12021858,Carina F Frazatto
97711985,Jiadong Fan Jiadong Fan
72052006,Srivatsan Laxman
91081237,河野麻実子
91085640,治樹 杉山
27514074,Günther Heidenberger
67872579,S.D. Roast
3533853,Aleah Butler-Jones
21884232,Estabrook Ma
50305398,Marjorie Finkelstein
58113575,O. Galaev
24780958,G Matthias Ullmann
70009465,Seyed Ehsan Haghi
70391715,Sheela Shylaja
21581776,Eric St. Johnston
47356530,M. Sacilowski
2149791,Abdulaziz Uthman Joury
4657492,Amanda Zambelli
92484502,角口亜希子
5317263,Anderson Munatsi
8894979,Barbara Scatena
88702858,周小欢
36654912,Joel L Martin
39875372,Karen P. Macbeth
52162535,Meyric Reynold Rogers
15475777,D. Adão
17300517,Deborah Janowitz
34823922,Jangke Yang
28325765,H.N Waber
97298268,ISABELA IMOLESI DIAS
32107750,Irma M. Verdonck - de Leeuw
72273942,Stepanuston Pelawi
11824353,Calleja Kempín Ij
53164858,Mirtha G. Maximino
17222254,De’Broski.R. Herbert
53499599,Mohammad Hossein Ghezeayagh
50216763,Marion C. Barnard
52473393,Michał Biegajło
13888647,Christina Avellino
32003389,Irda Diana Hakim
5737956,Andrey Y. Palkin
20279449,Edward S Petersa
95002645,C.-X Tang
91046390,汪福顺
62089563,Priscilla Alvim Soares
