publisher_id,publisher,hierarchy_level,parent_publisher_id,homepage_url,ror_id,openalex_id,wikidata_id,image_url,thumbnail_url,updated_date,created_date
4310314580,European HIV/AIDS and Infectious Diseases Academy,0.0,4310314580.0,,,P4310314580,Q52663176,,,2024-08-26,2023-01-01
4324051133,"Institute of Mathematics, Polish Academy of Sciences",0.0,4324051133.0,,,P4324051133,,,,2024-08-26,2023-03-14
4310322185,European Association of Science Editors,0.0,4310322185.0,http://www.ease.org.uk,,P4310322185,Q5412286,,,2024-08-26,2023-01-01
4310321498,"Real Colegio Universitario ""Escorial-María Cristina""",0.0,4310321498.0,,,P4310321498,Q52636135,,,2024-08-26,2023-01-01
4310315270,Balai Arkeologi Jawa Barat,0.0,4310315270.0,,,P4310315270,Q52636699,,,2024-08-26,2023-01-01
4310317589,University of Naples Federico II,0.0,4310317589.0,http://www.unina.it,05290cv24,P4310317589,Q691851,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Federico II University Logo.svg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Federico II University Logo.svg&width=300,2024-08-30,2023-01-01
4360969254,University of Baghdad - College of Administration and Economics,0.0,4360969254.0,,,P4360969254,,,,2024-08-26,2023-03-27
4310319081,National Iranian Oil Company (NIOC) Health Organization,0.0,4310319081.0,,,P4310319081,Q52619605,,,2024-08-26,2023-01-01
4310315474,Hungarian Entomological Society,0.0,4310315474.0,http://www.magyarrovartanitarsasag.hu,,P4310315474,Q37287011,,,2024-08-26,2023-01-01
4322698810,Korean Society of Sport and Leisure Studies,0.0,4322698810.0,,,P4322698810,,,,2024-08-26,2023-03-02
4310318285,Istanbul Commerce University,0.0,4310318285.0,https://www.ticaret.edu.tr,02v3kkq53,P4310318285,Q3073363,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Istanbul Ticaret Üniversitesi Logo.png,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Istanbul Ticaret Üniversitesi Logo.png&width=300,2024-08-30,2023-01-01
4366305979,Yulin Normal University,0.0,4366305979.0,http://www.ylu.edu.cn,00445hv47,P4366305979,Q8060963,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Yulin Normal University.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Yulin Normal University.jpg&width=300,2024-08-30,2023-04-20
4323830089,Soziale Padiatrie und Jugendmedizin,0.0,4323830089.0,,,P4323830089,,,,2024-08-15,2023-03-11
4310320563,Institute for the Study of Man,0.0,4310320563.0,,,P4310320563,Q92206852,,,2024-08-26,2023-01-01
4310321237,Yuriy Fedkovych Chernivtsi National University,0.0,4310321237.0,,,P4310321237,Q52670493,,,2024-08-26,2023-01-01
4310321029,University of the Basque Country,0.0,4310321029.0,https://www.ehu.eus/eu,000xsnr85,P4310321029,Q1232428,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Ehu logoa 1.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Ehu logoa 1.jpg&width=300,2024-08-30,2023-01-01
4310312079,Instituto Brasileiro de Estudos e Pesquisas de Gastroenterologia (IBEPEGE),0.0,4310312079.0,,,P4310312079,Q52607676,,,2024-08-26,2023-01-01
4310312077,"Mavera, Edições Científicas e Técnicas Ltda",0.0,4310312077.0,,,P4310312077,Q52663688,,,2024-08-26,2023-01-01
4362724890,Guilin Mineral Geological Research,0.0,4362724890.0,,,P4362724890,,,,2024-08-26,2023-04-10
4310313014,Association des Professeur-e-s de Français des Universités et Collèges Canadiens (APFUCC),0.0,4310313014.0,https://www.apfucc.net,,P4310313014,Q52664741,,,2024-08-20,2023-01-01
4401714063,Pact for Youth Association,0.0,4401714063.0,https://pact4youth.hu,02mwm8067,P4401714063,Q126839546,,,2024-08-26,2024-08-20
4310322659,Pearson Education,1.0,4310322659.0,https://www.pearsoned.com,02naadr48,P4310322659,Q6420723,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Ppbm.gif,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Ppbm.gif&width=300,2024-08-30,2023-01-01
4327876859,Chinese Academic Journals (CD Version) Electronic Magazine Office,0.0,4327876859.0,,,P4327876859,,,,2024-08-12,2023-03-20
4328141807,Kunming Physics Institute,0.0,4328141807.0,,,P4328141807,,,,2024-08-26,2023-03-22
4360969360,Tikrit University,0.0,4360969360.0,http://tujr.tu.edu.iq/index.php/t,,P4360969360,Q96738112,,,2024-08-26,2023-03-28
4310320446,Mathematical Sciences Publishers,0.0,4310320446.0,https://msp.org,04ymy2f27,P4310320446,Q6786842,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Msp-logo-small.gif,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Msp-logo-small.gif&width=300,2024-08-30,2023-01-01
4322764887,AgroParisTech,0.0,4322764887.0,https://www.agroparistech.fr,02kbmgc12,P4322764887,Q1637105,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Logo AgroParisTech.png,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Logo AgroParisTech.png&width=300,2024-08-30,2023-03-03
4322697138,Chinese Journal of Traditional Chinese Medicine,0.0,4322697138.0,,,P4322697138,,,,2024-08-26,2023-03-02
4310315058,Faculty of Medicine Andalas University,0.0,4310315058.0,,,P4310315058,Q52660881,,,2024-08-26,2023-01-01
4310312899,St. Francis Xavier University,0.0,4310312899.0,http://www.stfx.ca,01wcaxs37,P4310312899,Q2038889,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/StFXCoatofArms.png,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/StFXCoatofArms.png&width=300,2024-08-30,2023-01-01
4323867248,University of Portsmouth,0.0,4323867248.0,https://www.port.ac.uk,03ykbk197,P4323867248,Q2744209,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University of Portsmouth logo.svg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University of Portsmouth logo.svg&width=300,2024-08-30,2023-03-11
4361727481,Shizhen Journal of Traditional Chinese Medicine,0.0,4361727481.0,,,P4361727481,,,,2024-08-26,2023-04-03
4310317414,Institute of Art of the Polish Academy of Sciences,1.0,4310317414.0,http://www.ispan.pl,017fyx225,P4310317414,Q11713220,,,2024-08-30,2023-01-01
4310311771,University of Manchester,0.0,4310311771.0,https://manchester.ac.uk,027m9bs27,P4310311771,Q230899,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Manchester University Logo (2).png,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Manchester University Logo (2).png&width=300,2024-08-30,2023-01-01
4310316599,The University of Tampa,0.0,4310316599.0,https://www.ut.edu,007h1g065,P4310316599,Q751289,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Dome of Plant Hall's Fletcher Room.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Dome of Plant Hall's Fletcher Room.jpg&width=300,2024-08-30,2023-01-01
4327872796,Newsroom of Mechanical & Electrical Engineering Magazine,0.0,4327872796.0,,,P4327872796,,,,2024-08-26,2023-03-20
