publisher_id,alternative_name_seq,alternative_name
4310320079,1,Bentham Science Publishers Ltd.
4310320080,4,Harrassowitz-Verlag
4310320080,8,Verlag Harrassowitz
4310320082,1,הוצאת המרכז האקדמי שלם
4310320082,5,מרכז שלם הוצאה לאור
4310320083,3,IOP出版社
4310320087,1,CNRS éd.
4310320087,5,CNRS éditions
4310320088,4,Calmann Levy
4310320088,8,C. Lévy
4310320089,2,Centro americano di ricerca in Egitto
4310320090,1,Springer Medizin Verlag
4310320095,1,D.
4310320095,5,Recueil Dalloz
4310320098,1,CBS
4310320098,5,"Česká botanická společnost, z. s."
4310320103,1,AAS
4310320105,2,Verlag Holzhausen
4310320106,1,FCE
4310320106,5,Fondo de Cultura Económica de Mexico
4310320108,2,Springer Netherlands
4310320111,1,Gauthier-Villars et fils
4310320113,2,フラマリオン・グループ
4310320113,6,E. Flammarion
4310320113,10,Groupe Flammarion
4310320116,2,Harper and Row
4310320116,6,HarperCollins
4310320116,10,哈伯出版社
4310320116,14,哈珀
4310320116,19,哈珀與伯羅澤斯出版社
4310320118,3,Società editrice il Mulino
4310320119,1,DIAS
4310320119,5,都柏林高等研究学院
4310320120,4,Institut d’études slaves
4310320130,1,Editions de l'Herne
4310320132,2,Éditions La Découverte
4310320132,6,La découverte
4310320134,3,Léo S. Olschki
4310320134,7,Olschki
4310320135,1,Droz
4310320136,4,Librairie Générale De Droit Et De Jurisprudence
4310320137,2,LIBRAIRIE PHILISOPHIQUE VRIN
4310320138,1,Dokumentation der Technik
4310320138,5,K. G. Saur Editeur
4310320138,9,Minerva Publikation Saur
4310320138,13,Verlag K.G. Saur
4310320140,2,McFarland & Co
4310320141,4,Rekihaku
4310320141,8,歴博
4310320146,1,帕加马出版社
4310320148,2,Polynesian Society (N.Z.)
4310320149,4,Presses universitaires Paris-Sorbonne
4310320151,1,Presses Universitaire de Rennes
4310320154,1,Museum Tusculanum Press
4310320155,3,美国生理學学会
4310320157,4,アシュット
4310320157,8,Hachette & Co
4310320157,12,Hachette Filipacchi Medias = Presse
4310320157,17,HACHETTE LIVRE
4310320157,21,L. Hachette
4310320157,25,Librairie Hachette
4310320157,29,Ашетт
4310320160,4,ČSÚ
4310320162,1,UNP
4310320162,5,野牛書店
4310320167,1,Agone (éditions)
4310320174,3,Éditions de l'âge d'homme
4310320174,7,Éditions l'âge d'homme
4310320174,11,Éditions L’Âge d’Homme
4310320174,15,L'âge d'homme (édition)
4310320174,18,L'âge d'homme éditions
4310320175,1,Abrégés Masson
4310320175,5,Elsevier Masson
4310320175,9,Masson et fils
4310320176,4,Privat
4310320178,1,Édition de l'Atelier
4310320178,5,Editions ouvrieres
4310320178,9,Éditions Ouvrières
4310320178,13,Les éditions de l'atelier
4310320183,1,Clueb
4310320186,1,博克豪斯
4310320186,5,樺屋
4310320186,9,比克霍伊澤
4310320189,4,爱丁堡大学出版社
4310320195,3,Electro-chemical Society
4310320195,7,美國電化學學會
4310320198,3,Franco Angeli (editore)
4310320198,7,Franco Angeli Libri
4310320199,1,Gaetano Macchiaroli Editore
4310320204,2,ICCU
4310320204,6,イタリア図書館総合目録・書誌情報中央研究所
4310320207,1,Edumond Le Monnier
4310320209,2,Mimesis
4310320210,1,Editrice Morcelliana Spa
4310320214,3,Rai Eri
4310320215,1,Rubbettino
4310320218,1,Sociedad Quimica Italiana
4310320220,2,Società Anonima Editrice Dante Alighieri
4310320223,1,Athlone Press
4310320223,5,Continuum International Publishing
4310320223,9,Hambledon Continuum
4310320223,13,Trinity Press
4310320223,16,連續出版
4310320226,1,Acoustical Society of America
4310320226,5,Акустическое общество Америки
4310320232,4,Die Organisasie vir Ekonomiese Samewerking en Ontwikkeling
4310320232,8,ESAO
4310320232,12,Keng-chè Ha̍p-chok kap Hoat-tián Cho͘-chit
4310320232,17,OCDE
4310320232,21,OCSE
4310320232,25,O.E.C.D.
4310320232,29,OESO
4310320232,34,Organisasi pikeun Kerjasama jeung Pamekaran Ékonomi
4310320232,38,Organisationen for økonomisk samarbejde og udvikling
4310320232,42,Organisation For Economic Cooperation And Dovelopment
4310320232,46,ORGANIS COOPERATION DEVELOPP ECONOMIQUE
4310320232,51,Organització per la Cooperació i el Desenvolupament Econòmic
4310320232,55,Organizacija za ekonomsku suradnju i razvoj
4310320232,59,Organizacion para la Cooperacion y el Desarrollo Economico
4310320232,63,Organizacion para la Cooperacion y el Desarrollo Económicos
4310320232,65,Organización para la Cooperación y el Desarrollo Económicos
4310320232,69,Organizata për Bashkëpunim dhe Zhvillim Ekonomik
4310320232,73,Organization de coopération et de développement économiques
4310320232,77,Organizo por ekonomia kunlaboro kaj evoluo
4310320232,80,Organizzazione per la cooperazione economica e lo sviluppo
4310320232,84,TEBIPO
4310320232,88,سازمان همکاری و توسعه اقتصادی
4310320232,92,הארגון לשיתוף פעולה ופיתוח כלכלי
4310320232,99,ОЕЕС
4310320232,103,Организација за европску економску сарадњу
4310320232,107,Організація економічного співробітництва і розвитку
4310320232,111,Экономикалық ынтымақтастық және даму ұйымы
4310320232,114,ओईसीडी
4310320232,118,欧洲经济合作组织
4310320232,122,经济合作发展组织
4310320238,3,Медгиз
4310320239,1,マサチューセッツ・メディカル・ソサエティ
4310320244,2,計算言語学会
4310320252,2,AAAS
4310320252,6,Academia Americana de las Artes y las Ciencias
4310320252,10,Académie américaine des arts et sciences
4310320252,14,American academy of arts and sciences
4310320252,19,Yhdysvaltain taide- ja tiedeakatemia
4310320252,23,اکادمی هنر و دانش امریکا
4310320252,27,美国人文与科学学院
4310320252,31,美國人文及科學學院
4310320252,32,美國人文與科學院
4310320254,3,انجمن ایالات متحدهیی مدرسان فیزیک
4310320254,7,انجمن مدرسین فیزیک امریکا
4310320255,1,アメリカン・アストロノミカル・ソサイエティ
4310320255,5,American Astronomical Society
4310320255,9,Sociedad Astronomica Americana
4310320255,13,جامعه اخترشناسی ایالات متحده
4310320255,16,جامعه اخترشناسی امریکا
4310320255,20,米国天文学会
4310320256,1,バイオメッドセントラル
4310320256,5,BioMed Central Ltd
4310320256,9,生物医学中心
4310320257,3,American Institute of Physics
4310320257,7,Instituto americano de física
4310320257,11,مؤسسهٔ فیزیک آمریکا
4310320257,15,Медали и премии Американского института физики
4310320259,2,American Medical Association
4310320259,6,Asociación Médica Americana
4310320259,10,Association Médicale Américaine
4310320259,14,Амерыканская медыцынская асацыяцыя
4310320260,3,Sociedade Meteorológica Estado-unidense
4310320261,1,American physical society
4310320261,5,APS
4310320261,9,Sociedad Norteamericana de Fisica
4310320261,13,انجمن فیزیک امریکا
4310320261,16,جامعه فیزیک آمریکا
4310320261,20,החברה האמריקאית לפיזיקה
4310320261,24,美国物理学会
4310320262,2,American Psychological Association
4310320262,6,Asociacion Americana de Psicologia
4310320262,10,Asociacion Estadounidense de Psicologia
4310320262,14,אגודת הפסיכולוגים האמריקאית
4310320262,19,Американска асоциация на психолозите
4310320262,23,Американската психологическа асоциация
4310320262,27,米国心理学会
4310320263,4,asm.org
4310320263,8,米国微生物学会
4310320264,1,Американское общество гематологии
4310320269,1,Allen Press (United States)
4310320270,2,Allured Publishing Corporation
4310320272,1,AACC
4310320273,3,Американская ассоциация по изучению рака
4310320275,2,American Geological Institute
4310320277,1,APHA
4310320278,2,ASBMB
4310320278,6,美國生物化學和分子生物學會
4310320287,4,Fischer Taschenbuchverlag
4310320287,8,S. Fischer-Verlag
4310320288,1,KeAi Publishing Communications Ltd
4310320293,1,Via Medica sp. z.o.o.
4310320293,5,VM Media sp. z o.o. VM Group sp.k. Grupa Via Medica
4310320295,4,ロー・スクール (アメリカ合衆国)
4310320298,4,国際水協会出版
4310320299,2,Latvijas Augstskola
4310320299,6,Letlands Statsuniversitet
4310320299,10,Pētera Stučkas Latvijas Valsts Universitāte
4310320299,14,Trường Đại học Latvia
4310320299,19,Uniwersytet Łotewski
4310320299,23,Латвийский государственный университет им. Петра Стучки
4310320301,1,バターワース-ハインマン
4310320307,2,CAA Advancing Art & Design
4310320309,1,Shang wu yin shu guan
4310320311,4,阿奇博尔德警员公司
4310320314,4,Kansas University
4310320314,8,University of KS
4310320314,12,Университет Канзаса
4310320317,1,IUPUI (Campus). School of Social Work
4310320318,2,Stockholm UP
4310320320,1,Honnold Mudd Library
4310320325,1,SPROC
4310320326,2,KOSEHT
4310320328,1,EUM - Edizioni Università di Macerata
4310320333,1,AGH University of Science and Technology Press
4310320334,2,ISPACS
4310320335,4,University of Pittsburgh Libraries
4310320336,1,Deutscher Fachverlag
4310320339,2,"eScholarship, University of California"
4310320341,1,Waikato Institute for Educational Research
4310320345,3,科爱出版
4310320349,1,Duke Libraries
4310320355,2,Equinox Pub
4310320357,1,F1000
4310320358,2,faseb.org
4310320361,3,"Galpin Society, The"
4310320362,4,リトル・ブラウン・カンパニー
4310320362,8,Little Brown and Company
4310320362,12,"Little, Brown & Co."
4310320362,17,利特爾和布朗出版社
4310320362,21,利特爾與布朗公司
4310320362,25,小棕與公司
4310320363,2,Smathers Libraries
4310320363,6,University of Florida George A. Smathers Libraries
4310320366,2,ingentaconnect.com
4310320373,1,Annual Review
4310320374,2,H.E.L.D.R.E.F. Publications
4310320377,3,Kasvatusopillinen korkeakoulu
4310320379,2,University of Alberta Libraries
4310320380,3,UZ
4310320386,2,Smithsonian Scholarly Press
4310320396,1,콘데나스트
4310320396,5,Conde Nast Publications Inc
4310320399,2,UAM Xochimilco
4310320401,1,OceanSide
4310320402,2,John Benjamins
4310320412,1,D. A. Spandidos
4310320417,1,Journal of Rheumatology Publishing Co.
4310320420,1,DJØF FORLAG A/S
4310320425,1,Lawrence Wishart
4310320432,3,Barenreiter
4310320432,7,ベーレンライター社
4310320436,1,LUP
4310320437,3,"ABC-Clio, Inc."
4310320437,7,American Bibliographical Center-Clio
4310320439,2,IEEEコンピュータ・ソサエティ
4310320439,6,IEEEコンピュータ学会
4310320439,10,Компьютерное общество Института инженеров электротехники и электроники
4310320440,3,Peter Lang Publishing Group
4310320440,7,PIE Peter Lang
4310320440,11,彼得·朗出版社
4310320441,1,夏普出版社
4310320448,3,Medknow Publications (India)
4310320449,1,Achieve Global
4310320460,1,The Policy Press
4310320465,1,New Zealand Nurses' Organisation
