author_id,last_known_institution_seq,last_known_institution_id
5087680695,2,44461941
5062777485,1,4210122495
5075949998,1,25041050
5078188347,4,99065089
5014350537,7,4210116778
5001206270,1,190508380
5063408449,10,137902535
5036468925,2,52357470
5054733564,2,4210103127
5007191308,8,159107703
5070063932,2,115592961
5055007124,4,2802541053
5011434760,6,2802946424
5087272817,1,1329325741
5073595530,1,21250087
5044967848,2,875944469
5042598052,3,2746051580
5097802219,1,1287643137
5028530239,7,4210091773
5091932418,1,61600748
5102727989,4,4210104282
5103873328,1,74813324
5008921092,3,75951250
5028548235,3,131651094
5054267121,1,4210155821
5006244763,2,86519309
5044982268,8,4210107283
5045373334,3,4210153126
5025268737,1,22465464
5094877796,1,150468666
5008695865,1,4210088691
5031137059,2,1343551460
5065343767,3,136199984
