institution_id,repository_seq,repository_source_id
2801248553,2,4306402614
2801333002,1,4377196310
2801652627,1,4306400155
2801876189,1,4306400383
2801976130,1,4306402334
2802025818,2,4306401026
2802176441,1,4306401608
2802260906,1,4377196559
2802286613,2,4306402307
2802828525,1,4306400614
2802923894,3,4306401255
2898391981,1,4377196266
2982035970,1,4306401373
3018704611,1,4377196677
3019727434,1,4306402554
3020190299,1,4306400249
3121987637,1,4306400228
3123035732,1,4306402075
3131271221,1,4306402215
3131287517,1,4377196965
3131778735,1,4377196907
3132420320,4,4306400749
3132710747,2,4306402073
3141906898,1,4306402026
4210086302,1,4306402502
4210086585,1,4306400982
4210086850,1,4377196487
4210087241,1,4377196721
4210088668,1,4306400794
4210088975,1,4377196873
4210089017,2,4306400110
4210089144,1,4306400504
4210089366,1,4377196689
4210089486,1,4306402156
4210089966,3,4306400091
4210091554,1,4306400495
4210092172,1,4306402327
4210093185,1,4377196103
4210093275,4,4306400747
4210094504,1,4306400182
4210096028,1,4306400788
4210096350,1,4306402092
4210097146,2,4306401468
4210097709,1,4306401690
4210099471,1,4306401750
4210099506,1,4306401302
4210100292,1,4306402503
4210101313,1,4306402484
4210101313,5,4306402459
4210101313,9,4306402472
4210101313,13,4306402583
4210101313,16,4306400574
4210101368,3,4306400835
4210101845,1,4306400165
4210101898,1,4306401996
4210103632,1,4306400704
4210105895,1,4306400053
4210107867,1,4306401456
4210107902,1,4306400900
4210108322,1,4306401138
4210108513,2,4306400729
4210108527,1,4306402047
4210109351,1,4306401881
4210110423,1,4306402113
4210111398,2,4306401886
4210111921,1,4377196820
4210111937,1,4377196980
4210112663,1,4306402606
4210113907,1,4377196903
4210114028,1,4306400759
4210115194,3,4306402409
4210115453,1,4306401167
4210115995,1,4306400233
4210116198,1,4306401764
4210116845,1,4377196676
4210117059,1,4377196850
4210118915,1,4306401703
4210118987,1,4306402293
4210120228,1,4306400037
4210120300,1,4306401755
4210120685,1,4306401367
4210122374,1,4306401650
4210123063,1,4377196662
4210123216,1,4306400095
4210123514,1,4306402203
4210123841,1,4377196862
4210124272,1,4377196666
4210124753,1,4377196541
4210126796,1,4306402251
4210127410,1,4306402511
4210127711,2,4306402257
4210128224,1,4306402090
4210131160,1,4306400469
4210131387,1,4377196668
4210132348,1,4377196282
4210135226,1,4306401209
4210135666,2,4306401106
4210136572,1,4306400060
4210137406,1,4377196667
4210139159,2,4377196819
4210139291,1,4306400201
4210139482,1,4306402004
4210140733,1,4306400081
4210140760,1,4306401155
4210141702,2,4306402142
4210142515,3,4306400667
4210142575,1,4306401640
4210142728,1,4306402017
4210143928,1,4306401587
4210144560,1,4377196281
4210144834,1,4306402321
4210144925,1,4377196307
4210145449,1,4306402467
4210146508,1,4306402653
4210148385,1,4306402455
4210148468,1,4306402350
4210149878,2,4306400120
4210150356,1,4306400628
4210151805,1,4306402200
4210152311,2,4306402111
4210152596,1,4306401904
4210153120,1,4306400087
4210154840,1,4306400978
4210155768,1,4306400932
4210156742,2,4306401740
4210158352,1,4306402506
4210158376,1,4377196858
4210158813,1,4306400650
4210159538,1,4306400935
4210159629,1,4306401702
4210159638,2,4377196658
4210160370,3,4306401428
4210164264,2,4377196648
4210165007,2,4377212285
4210165738,1,4377196670
