author_id,author,orcid,openalex_id,scopus_id,wikipedia_url,updated_date,created_date
5017719170,Humayd Abdullah Bin,,A5017719170,,,2024-05-06,2023-07-21
5009420008,Márcia Romero,,A5009420008,,,2024-08-25,2023-07-21
5096554298,晃司 冨永,,A5096554298,,,2024-05-16,2024-05-07
5007164013,H. F. Chen,,A5007164013,,,2024-06-08,2023-07-21
5015546690,박신애,,A5015546690,,,2024-06-11,2023-07-21
5043025642,鲁瑾,,A5043025642,,,2024-05-11,2023-07-21
5096938405,Eric Van Dulken,,A5096938405,,,2024-06-14,2024-05-09
5027769182,张忠健,,A5027769182,,,2024-05-10,2023-07-21
5026095550,Dong Xiao,,A5026095550,,,2024-06-10,2023-07-21
5095975325,Mba Ella,,A5095975325,,,2024-06-13,2024-05-03
5033766524,Laurence Blanc,,A5033766524,,,2024-08-25,2023-07-21
5080327602,Xuezhixing Zhang,,A5080327602,,,2024-08-13,2023-07-21
5024876592,汪河,,A5024876592,,,2024-05-08,2023-07-21
5087376098,B. Malickova,,A5087376098,,,2024-06-10,2023-07-21
5006047696,Xiaoxi YUAN,,A5006047696,,,2024-06-09,2023-07-21
5047805298,LucasRestrepo,,A5047805298,,,2024-06-11,2023-07-21
5079118410,Yongqian Cao,0000-0002-9315-9680,A5079118410,,,2024-08-19,2023-07-21
5036689199,M. Cupial,,A5036689199,,,2024-05-11,2023-07-21
5009741755,G. van Willigenburg,,A5009741755,,,2024-06-09,2023-07-21
5086017664,R. Castillo-Ortega,0000-0002-0809-1563,A5086017664,57190010344.0,,2024-08-22,2023-07-21
5071221844,泰輔 府川,,A5071221844,,,2024-05-12,2023-07-21
5095864606,Ana Taila Braga Consoli,,A5095864606,,,2024-08-20,2024-04-25
5020696586,周靖祥,,A5020696586,,,2024-05-11,2023-07-21
5105335087,五十嵐 省吾,,A5105335087,,,2024-08-14,2024-07-29
5017632028,Paola González,,A5017632028,,,2024-06-10,2023-07-21
5068398310,Marga Petersen,,A5068398310,,,2024-07-19,2023-07-21
5086553537,MA Rinus van Houten,,A5086553537,,,2024-08-20,2023-07-21
5003652353,Charlotte Leser,0000-0002-4489-1787,A5003652353,,,2024-08-24,2023-07-21
5065691185,Douglas J. Chapsky,,A5065691185,,,2024-06-09,2023-07-21
5034123654,T. Y. Zhang,,A5034123654,,,2024-08-10,2023-07-21
5004314830,Niko Mohr,,A5004314830,,,2024-08-19,2023-07-21
5090548344,Shin’ya Ueda,,A5090548344,,,2024-06-11,2023-07-21
5060917567,Lee Poh Chen,,A5060917567,,,2024-07-25,2023-07-21
5046976231,Aprinkresna Yudha Pradana,,A5046976231,,,2024-06-06,2023-07-21
5073440700,محمدعلی روشنضمیر و عزیزا... جعفری,,A5073440700,,,2024-05-10,2023-07-21
5057011044,K.O. Kushch,,A5057011044,,,2024-06-12,2023-07-21
5059691288,R. B. Diasio,,A5059691288,,,2024-06-12,2023-07-21
5035912931,E Birken,,A5035912931,,,2024-08-03,2023-07-21
5057346080,Emily Bilish,,A5057346080,,,2024-06-09,2023-07-21
5095919564,Culture-Led Regeneration,,A5095919564,,,2024-07-14,2024-04-29
5093714500,احمد حجازي,,A5093714500,,,2024-05-08,2024-01-18
5039742944,Bert Rürup,,A5039742944,,,2024-08-26,2023-07-21
5059215887,Bruna Ackermann Schardong,,A5059215887,,,2024-06-12,2023-07-21
5086455211,梁在国,,A5086455211,,,2024-05-12,2023-07-21
5037367575,І. Д. Драч,0000-0001-7198-5546,A5037367575,,,2024-08-27,2023-07-21
5057979054,Jonathan Stem,,A5057979054,,,2024-08-21,2023-07-21
5009897162,A Cala,,A5009897162,,,2024-05-14,2023-07-21
5097243884,김혜리,,A5097243884,,,2024-07-03,2024-05-11
5080430191,A. A. Montandon,,A5080430191,,,2024-06-11,2023-07-21
5035492526,Francis Phaneuf,,A5035492526,,,2024-06-10,2023-07-21
5081459465,E.V. Shpol'skii,,A5081459465,,,2024-06-10,2023-07-21
5102588235,Marianne Beverley Vaughan,,A5102588235,,,2024-07-22,2024-07-12
5037434450,М. О. Потапова,,A5037434450,,,2024-06-13,2023-07-21
5000004811,Duo Ma,0000-0003-3473-0709,A5000004811,,,2024-08-19,2023-07-21
5067634127,Simon Dietlin,,A5067634127,,,2024-08-23,2023-07-21
5092628322,Edmond A. Kelemen,,A5092628322,,,2024-08-07,2023-09-07
5067858701,邱承学,,A5067858701,,,2024-05-07,2023-07-21
5072018111,Guilherme Teixeira Soares,,A5072018111,,,2024-06-13,2023-07-21
5060523402,Claiton Roberto Tavares Rolin Harter,,A5060523402,,,2024-06-06,2023-07-21
5009816679,M. Jarecka,,A5009816679,,,2024-06-11,2023-07-21
5085674621,von Istvan Czajlik,,A5085674621,,,2024-06-11,2023-07-21
5028668125,Tom W. Bakker,,A5028668125,,,2024-08-21,2023-07-21
5029385539,Ana Silvia,,A5029385539,,,2024-08-18,2023-07-21
5069696140,Schachtel,,A5069696140,,,2024-06-12,2023-07-21
5064441792,Pierre Boulin,,A5064441792,,,2024-08-23,2023-07-21
5103449868,Tyler Williams,,A5103449868,,,2024-08-24,2024-07-14
5080591942,Dunin-Barkowski Witali,,A5080591942,,,2024-08-20,2023-07-21
5088028888,Eun-hye Jeon,,A5088028888,,,2024-06-11,2023-07-21
5044572647,Margaret Civak,,A5044572647,,,2024-08-25,2023-07-21
5026220212,Cheng Ying-kun,,A5026220212,,,2024-06-09,2023-07-21
5018023746,Nattasiri Thanawuth,,A5018023746,,,2024-08-16,2023-07-21
5004658668,Irma S Rivas,,A5004658668,,,2024-08-15,2023-07-21
5098792588,Jacob Sherkow,,A5098792588,,,2024-06-12,2024-05-24
5047483630,لری لَوْدِن,,A5047483630,,,2024-05-12,2023-07-21
5045005693,Alexandre Miranda Cardoso,,A5045005693,,,2024-06-12,2023-07-21
5015809628,Alonso Quintero,,A5015809628,,,2024-06-09,2023-07-21
5065815417,John Klopotowski,,A5065815417,,,2024-05-11,2023-07-21
5011015333,郭浩中,,A5011015333,,,2024-05-11,2023-07-21
5001183820,A. J. P. TATLOR,,A5001183820,,,2024-05-07,2023-07-21
5097340186,G. S�ssmann,,A5097340186,,,2024-06-08,2024-05-11
5021607116,A Hasse,,A5021607116,,,2024-05-14,2023-07-21
5041508030,S B Pham,,A5041508030,,,2024-08-19,2023-07-21
5024378497,胡沁影,,A5024378497,,,2024-05-14,2023-07-21
5104349990,Chun-Xiao Xu,,A5104349990,,,2024-08-16,2024-07-14
5067397405,甲子男 浅井,,A5067397405,,,2024-05-08,2023-07-21
5002828018,宏一 望月,,A5002828018,,,2024-05-14,2023-07-21
5047590729,I. Chu,,A5047590729,,,2024-08-16,2023-07-21
5069231666,Abdelmalik Bouyahyaoui,,A5069231666,,,2024-08-20,2023-07-21
5030188433,Hanan AlShamamry,,A5030188433,,,2024-06-13,2023-07-21
5091442518,A. Engel,,A5091442518,,,2024-05-11,2023-07-21
5003644341,V.A. Kokunov,,A5003644341,,,2024-08-13,2023-07-21
5042807785,Jean Jacques Schmidt,,A5042807785,,,2024-05-11,2023-07-21
5055042860,Talita Tekin,,A5055042860,,,2024-06-06,2023-07-21
5055349706,Y U Mirenburg,,A5055349706,,,2024-05-14,2023-07-21
5072742127,Maria Elena Pérez Morales,,A5072742127,,,2024-06-11,2023-07-21
5029682981,Seyedeh Maryam Salehan,,A5029682981,,,2024-06-09,2023-07-21
5039578998,MA Xiang-pu,,A5039578998,,,2024-08-14,2023-07-21
5016492487,Waghmare SP,,A5016492487,,,2024-08-22,2023-07-21
5075755216,SVERRE E. KJELDSEN,,A5075755216,,,2024-05-13,2023-07-21
5029369249,Прищепа Наталья Николаевна,,A5029369249,,,2024-05-07,2023-07-21
5025169972,Gui-Qi Lai,,A5025169972,,,2024-08-20,2023-07-21
5081616240,Cynthia Finelli,0000-0001-9148-1492,A5081616240,,,2024-08-19,2023-07-21
5083540672,Emeer John Chua,,A5083540672,,,2024-08-16,2023-07-21
5079775796,Yousraa abdul-sahib Saif-aldeen,,A5079775796,,,2024-06-14,2023-07-21
