work_id,affiliation_seq,institution_seq,institution_id
2111552988,1,2,4210140884
1484171892,8,1,1282311441
4401457690,2,1,4210114105
2078341124,1,1,189442560
2021422043,1,1,4210159807
2731207222,1,1,1516879
1862937131,1,1,185658715
4393204487,1,2,4210129127
3168468783,1,1,4210102575
4309012901,5,1,4210137358
4390498679,3,1,165143802
4391769900,1,1,165230279
2485127113,2,1,135140700
4400103507,1,1,4210093544
3090223729,1,1,4210116730
2062626247,3,1,99464096
4367680896,4,1,304662888
2903904350,4,1,123044942
2037255850,1,1,136199984
4206084830,1,1,4210131630
4212984678,1,1,32394136
2913908916,3,1,4210151406
2323033766,1,1,101202996
2329648870,3,1,55769427
2364929401,1,1,24185976
4385145290,1,1,41458283
2809608530,1,1,4210144214
1560763741,2,1,113508548
3007107564,8,1,1307098950
2515076980,2,2,4210138427
4214830307,1,1,1315085146
175565468,1,1,86519309
1748173312,1,1,874386039
2206361318,1,1,2802335433
2282401368,2,1,131868736
2027061276,1,1,83399316
2087626393,1,1,67415387
4205805362,2,1,52357470
1780956494,1,1,154893126
3163366593,2,1,139660479
4200513370,1,2,4210163399
1973117280,1,1,204250578
2132656489,5,1,4210091198
2060827848,1,1,185261750
4388562171,2,1,4210153482
4281258761,1,2,889458895
2784467353,4,1,4210154521
4240370733,1,1,76661892
1987723736,6,2,45129253
2895726182,3,1,142207940
2984623095,5,2,4210086685
4294626622,1,1,4210150439
2086721960,5,1,200166805
3081384258,4,2,4210141476
2118342577,1,1,2799950917
2147119272,50,1,16019930
2893657097,2,1,79576946
3080765528,2,1,4210164558
4400221190,1,1,3018325552
647869256,3,1,10947320
3105434835,4,2,4210110240
3100829527,1,1,126520041
4296008175,1,1,40677808
1951358560,3,1,1343052199
4200503484,1,1,1335518801
2919324746,2,1,103850315
4312242976,3,1,3123346794
1976607924,1,1,74775410
2781262701,2,1,68106152
4200484528,6,1,183067930
2074662102,3,1,1343871089
2066216829,1,1,1289490764
2118269464,1,1,139759216
2070090311,1,1,126744593
2161942627,2,1,16391192
4389560402,1,1,194450716
2755610422,3,1,161593684
4292074357,1,1,108290504
1965745264,2,1,4210139653
4392477405,4,1,118118575
4213286874,1,1,4210147594
47453632,1,1,22299242
4396914427,2,1,195024194
2776540438,2,1,55664587
2094940657,1,1,4210141397
2068739929,1,1,122411786
2886664926,2,1,4210165673
2077685351,1,1,204465549
2953307200,1,1,165339363
3188668021,3,1,177055848
4389400279,1,1,5561750
4211105895,1,2,4210087915
2593496700,1,1,193615760
2035862282,1,1,4210150160
2562279622,4,1,170897317
3217443520,2,1,2801919071
4388837368,4,1,4210097159
2984912325,4,2,4210130999
1015398762,1,1,71999127
4245082582,1,2,24354313
1109303541,2,1,169521973
2755825610,5,1,2801610018
2981303942,2,1,124055696
