concept_id,umls_aui_seq,umls_aui
2908711476,2,A1395974
2910288779,5,A25706684
2910482119,3,A0445759
2910542480,1,A0576279
2910579941,1,A0482844
2909645108,3,A17952556
2909623084,4,A19353649
2908834131,7,A0402790
2908651487,1,A18667512
2910007452,3,A12018574
2909061311,6,A2939523
2908872077,1,A12995318
2911192292,21,A15527950
2908736133,14,A8311860
2908963076,3,A23463925
2910962006,2,A0088640
2910980524,1,A0962549
2908844906,16,A25686013
2908539361,5,A0392991
2909531343,1,A0060386
2909819602,9,A23023264
2908941092,4,A0470811
2908642939,3,A8555306
2908812692,3,A26948465
2908524427,5,A18557227
2909445476,7,A10335325
2911192292,4,A23935125
2909088720,5,A0036912
2910309781,2,A18884075
2909232226,1,A26638172
2910821056,1,A21424835
2909356766,1,A0126845
2909210223,4,A3818696
2909484270,1,A10817798
2909056506,2,A7651016
2909830880,4,A24369449
2910962159,14,A8438217
2910142743,1,A17681272
2910815390,1,A18668462
2909459036,8,A24566321
2910707947,7,A18668148
2911027401,2,A26609287
2910796831,2,A0130078
2909094123,10,A2889297
2909463153,4,A25690287
2909127448,2,A1012037
2908806481,9,A1540557
2909052318,8,A7571047
2909225500,11,A25688276
2909743803,9,A13072496
2908744134,1,A0247338
2908559767,3,A17002622
2909158518,6,A7578263
2910255311,9,A23899156
2910452531,2,A0247137
2910444461,5,A23916051
2910118542,9,A7641433
2910117706,4,A1412565
2908916198,7,A20070937
2910288590,7,A23912425
2908629526,1,A7628975
2910079294,7,A22859862
2910924620,2,A23902494
2909897528,11,A23868119
2910751997,3,A18681924
2909029650,6,A0476103
2910230970,2,A0246989
2909794270,3,A26666745
2909767651,2,A1142859
2908825957,5,A27873581
2909125321,3,A23979092
2910844663,15,A8353473
2910236225,2,A0244693
2910841738,4,A1385596
2910479173,14,A26660910
2908737250,5,A18128950
2910277799,3,A0477525
2909253567,2,A11574895
2908730789,1,A0566227
2911006876,7,A3003695
2908622527,6,A17692812
2909445476,3,A0411125
