work_id,sustainable_development_goal_seq,sustainable_development_goal_id,score
2037674765,1,3,0.81
186154783,1,12,0.53
2585893674,1,2,0.74
4386481579,1,2,0.61
1985303684,1,7,0.67
2422675208,1,3,0.82
2351700933,1,3,0.85
2995427942,1,2,0.76
2891694991,1,2,0.42
80718867,1,11,0.79
3159524534,1,3,0.73
3214515260,1,3,0.69
2756154544,1,2,0.83
2107668837,1,5,0.52
3030987346,1,3,0.85
2148627031,1,3,0.74
120828930,1,17,0.42
2312259312,1,7,0.84
91714908,1,2,0.8
2290714501,1,7,0.89
1661513122,1,2,0.85
2142879498,1,14,0.42
4307147140,1,3,0.78
4387943309,1,3,0.89
277249992,1,2,0.56
2003566299,1,13,0.59
149925590,1,10,0.46
3097274010,1,3,0.69
2568620766,1,16,0.58
2060575470,1,3,0.65
2411007415,1,8,0.46
2588650353,1,4,0.8
3135527720,1,17,0.43
2964140298,2,10,0.43
2769991757,1,4,0.68
2312790111,1,4,0.71
1972746302,1,4,0.46
4385810320,1,5,0.44
2416572705,1,3,0.73
2376458480,1,3,0.75
4308167551,1,10,0.76
3210726947,1,13,0.63
2531230789,1,11,0.43
2019481619,1,3,0.71
2932705838,1,3,0.56
2135853348,1,6,0.81
3132188445,1,7,0.48
2482356185,1,11,0.63
2089980558,1,4,0.49
4236849142,1,1,0.41
4386421593,1,10,0.47
2046307921,1,3,0.67
248897807,1,11,0.5
3209961445,1,11,0.87
2042741548,1,4,0.67
2081425406,1,3,0.74
2517707301,1,4,0.4
365569307,1,4,0.81
3013992182,1,15,0.63
4256511115,1,13,0.51
4300946772,1,7,0.56
4251429300,1,14,0.68
3091115144,1,3,0.67
1514595855,1,4,0.71
1967707355,1,14,0.41
2328276201,1,13,0.51
2591579336,1,8,0.45
2922233234,1,3,0.74
2344550389,1,11,0.53
2032069051,1,9,0.5
4239339126,1,1,0.44
4308426202,1,8,0.43
3028220479,1,2,0.8
1410294150,1,3,0.79
307073424,1,8,0.75
4377001308,1,13,0.51
4393182464,1,17,0.58
2745746896,1,14,0.71
3015192186,1,7,0.67
3032944313,1,2,0.56
2995220266,1,11,0.5
4238130187,1,3,0.73
2005269167,1,13,0.45
2024215118,1,15,0.43
2748417398,1,1,0.62
2417957560,1,8,0.65
1489243359,1,7,0.9
3170391257,1,7,0.81
2602780828,1,10,0.57
4235294408,1,13,0.55
2976294595,1,4,0.84
2463565146,1,6,0.85
4249374871,1,7,0.68
2140664711,1,2,0.43
4387805558,1,11,0.65
345019839,1,16,0.51
2249983210,1,6,0.84
3104096431,1,16,0.7
2465121665,1,2,0.56
4388936547,1,3,0.49
371539848,1,10,0.5
2218945393,1,4,0.82
3008700320,1,11,0.68
2092421731,1,6,0.64
4401621717,1,10,0.83
2212614088,1,9,0.44
2031793593,1,3,0.44
4397033780,1,2,0.75
2335687317,1,14,0.84
2052663880,1,7,0.9
1964986503,1,14,0.85
2076574028,1,14,0.54
1977119718,1,2,0.49
2269583080,1,3,0.66
396924182,1,8,0.67
2909333946,1,3,0.66
4248228067,1,8,0.52
2379588131,1,3,0.78
2888964327,1,16,0.54
2866194972,1,14,0.79
4390973813,1,10,0.75
2344739137,1,2,0.52
3148306067,1,4,0.8
2189510792,1,2,0.8
4249571235,1,4,0.56
2802412947,1,3,0.77
2018717183,1,7,0.9
1586441272,1,8,0.57
4392976101,1,7,0.65
4245899285,1,5,0.43
2501446168,1,13,0.75
2025956777,1,14,0.63
3110320653,1,10,0.82
2351052207,1,11,0.55
4386438730,1,7,0.58
4206352662,1,3,0.83
2900256090,1,7,0.89
2129421122,1,3,0.4
2325016211,1,11,0.63
1902495755,1,3,0.67
4293210815,1,6,0.45
4205173738,1,13,0.87
2986914246,1,13,0.4
3030760524,1,3,0.5
2261951769,1,16,0.43
2079786653,1,3,0.84
4229783537,1,11,0.81
2522914493,1,11,0.42
4308206598,1,7,0.52
2790675524,2,12,0.42
2277530552,1,3,0.82
597531,1,2,0.46
206315493,1,8,0.63
2899197921,1,3,0.6
2375033096,1,16,0.76
4317928847,1,4,0.79
2767093724,1,13,0.79
2288766065,1,11,0.79
2274321161,1,14,0.43
373420772,1,7,0.56
4247135544,1,3,0.65
4389186339,1,2,0.75
2995334338,1,9,0.44
2539076635,1,11,0.69
2325218885,1,2,0.41
1448765,1,9,0.66
4292857183,1,3,0.8
4212953958,1,11,0.72
2409020498,1,3,0.41
2368309055,1,11,0.78
4388391411,1,8,0.62
1502868438,1,6,0.45
2516697845,1,13,0.49
565173474,1,8,0.46
2901645333,1,3,0.54
128985754,1,11,0.41
2996254756,1,7,0.85
2966515265,1,15,0.65
2127265721,1,15,0.72
1981107865,2,16,0.41
3016107888,1,13,0.52
4205888262,1,5,0.41
3185358087,1,9,0.6
3024597816,1,8,0.56
2213630211,1,15,0.52
2238503433,1,11,0.43
2485804525,1,16,0.81
2396670835,1,2,0.8
3124334738,1,17,0.41
2134271988,1,15,0.72
3047171286,1,3,0.83
4251493397,1,7,0.45
2145719506,1,3,0.69
2336210288,1,10,0.48
4292143322,1,5,0.51
2091810053,1,15,0.68
2462864832,1,3,0.85
2891712945,1,7,0.72
107165085,1,8,0.5
2574757417,1,13,0.43
4384850813,1,2,0.47
2324404723,1,2,0.84
3160478164,1,2,0.66
2060914458,1,4,0.44
2444412225,1,7,0.68
2740975364,1,15,0.42
2911773210,1,2,0.51
4295261347,1,3,0.86
3129103956,1,17,0.4
2991454559,1,8,0.7
2996220352,1,8,0.5
4250030732,1,3,0.77
2297492901,1,11,0.8
2914473004,1,7,0.87
2884841585,1,3,0.68
3194905512,1,2,0.79
2888604264,1,17,0.5
2026460218,1,3,0.79
2071423253,1,3,0.82
1568503582,1,15,0.49
1984666277,1,3,0.87
2951195352,1,7,0.8
1538655604,1,14,0.85
624941739,1,8,0.7
595277844,1,8,0.71
4393299014,1,3,0.47
4388898943,1,3,0.49
4205794466,1,4,0.83
1916057301,1,3,0.84
2159695727,1,6,0.41
2022991396,1,7,0.73
2625110401,1,16,0.57
4399714801,1,11,0.42
2328555906,1,11,0.59
