work_id,mesh_seq,mesh_descriptor_ui,mesh_qualifier_ui,is_major_topic
2034524580,5,D001665,,0
2044458980,5,D053685,,0
3097437837,10,D000871,,0
3198744121,12,D008023,,0
1991543435,10,D058846,,0
2047078985,24,D008168,,0
2411990356,21,D013667,,0
2903239402,34,D013270,,0
312187811,5,D010195,Q000473,1
1504251053,42,D010766,Q000187,0
4243525215,13,D016174,Q000235,0
2344176558,37,D044140,Q000819,0
2094463363,6,D005453,,0
2413893832,3,D006801,,0
2062158612,10,D008078,Q000378,0
1986060126,29,D051381,,0
2900936865,6,D059467,,1
2076184622,14,D020197,,0
4401112047,7,D008297,,0
2767545067,2,D007946,Q000150,1
2417798976,26,D012709,Q000276,0
1975521001,4,D000818,,0
3039422431,9,D012107,,0
4310642337,3,D005260,,0
2024356565,9,D010506,,0
90156674,7,D000704,,0
2288241685,2,D012649,,1
1551068524,12,D003600,Q000201,0
2239422080,8,D002417,,0
2103524608,26,D012306,,0
2286298338,1,D005756,Q000209,1
4388854314,4,D017097,,0
2410315023,4,D000143,,0
2071392096,19,D008297,,0
2173987989,19,D055815,,0
2013060954,15,D008727,Q000627,0
2408077513,7,D003731,,0
101270702,1,D003001,Q000379,1
2124091377,10,D001831,,0
2274501700,26,D008297,,0
2090007959,15,D004926,,0
2070593201,21,D012333,Q000032,0
2965234586,16,D018551,,0
3129376979,10,D000086663,Q000008,0
2411112916,4,D015221,Q000187,1
2531367451,27,D015861,,0
2800285943,7,D006779,,0
4317356928,5,D006868,,0
2408640558,13,D011183,,0
2171827981,7,D009415,Q000503,1
2054895855,8,D000971,,0
2168870169,17,D006801,,0
2414482188,6,D008991,,0
2786916506,6,D001665,,0
2142908878,29,D012333,,0
2069852077,18,D004382,,0
2120562372,3,D002415,Q000378,1
1973079453,12,D004305,,0
2530226004,15,D044465,Q000235,0
4319763535,8,D005260,,0
3217749289,20,D008321,,0
2028960151,31,D011188,,0
4389564884,2,D001938,,0
1666889320,2,D006982,,1
2077221882,9,D007425,,0
2258859278,1,D003600,Q000378,1
340353122,8,D010183,,0
2395937273,6,D010336,,0
2403684189,8,D001281,Q000139,0
2889459601,10,D002478,,0
1805538867,29,D009573,,0
2529885865,6,D003879,,0
2943954648,1,D004043,Q000032,1
2411869905,25,D008103,Q000150,0
2093621244,11,D004926,Q000166,0
2413022726,1,D000013,,1
2414562527,17,D007679,,0
2989957010,7,D000369,,0
1998862882,1,D004185,,1
2342771779,8,D010348,,0
1997038535,23,D007958,,0
2322257489,38,D008565,,0
2044862994,7,D002417,,0
2019883954,11,D002648,,0
2424057148,2,D059008,Q000379,1
2142351455,12,D008297,,0
2553076154,8,D005260,,0
2510646175,20,D019706,,0
2921088725,4,D023481,Q000523,1
2429023855,2,D005728,,1
2402514557,11,D004283,,0
2028404342,13,D008969,,0
2473046754,11,D006801,,0
3026015754,9,D006801,,0
2963448563,12,D063928,Q000378,0
2408871799,2,D000401,,1
2556434968,14,D006801,,0
2441372037,1,D000951,Q000097,1
2032804703,1,D015853,Q000494,1
2730840262,20,D012307,,0
2327573351,16,D006493,,0
2021127040,20,D017320,,0
2156471010,8,D000556,,0
1969124618,30,D058570,,0
2014663876,4,D000014,,0
1574534532,3,D042882,Q000209,1
2007179383,10,D005947,Q000494,0
1991933860,21,D009569,,0
