funder_id,alternative_name_seq,alternative_name
4320323274,2,Foundation For Children
4320313329,1,Game & Wildlife Conservation Trust
4320329951,1,Center for Research & Development in Mathematics and Applications
4320327178,2,Federal University of Lavras
4320310596,1,BodyMedia Inc.
4320309446,5,The Helmsley Charitable Trust
4320308528,1,AFPE
4320332086,2,HAICU
4320333011,2,TAMU-SA
4320314967,1,NATIONAL BOOK FOUNDATION INC
4320309000,2,AAGP
4320309954,3,DBU
4320306182,3,March of Dimes
4320336098,3,Swedish Dental Public Service
4320321804,3,Association Canadienne pour la Santé Mentale
4320306180,1,CNHF
4320312971,5,The British Sjogren's Syndrome Association
4320332940,1,COS
4320337839,6,UNC-Chapel Hill Odum Institute for Research in Social Science
4320320302,19,Ευρωπαϊκό Κοινοβούλιο
4320316273,1,The Larry Ellison Foundation
4320324585,1,Finnish Dental Association
4320332071,1,LEO Pharma A/S
4320333283,1,IBES
4320324195,1,Medical Research Council of Canada
4320331143,6,Tainan Municipal An-Nan Hospital China Medical University
4320327666,3,UAV Telemetry Key Laboratory
4320316568,4,The Draper Richards Foundation
4320307027,2,NDSSorg
4320337324,1,Institut Pasteur of Shanghai
4320333499,3,TAMUG
4320321001,2,Guójiā Zìrán Kēxué Jījīn Wěiyuánhuì
4320314004,3,Conseil General de la Marne
4320337906,3,The American Institute for Biological Sciences
4320306226,2,ADARF
4320334797,1,Centre for the strategic development of the Italian wine sector
4320335486,2,NRPO-SIA
4320338025,2,Oregon State University Department of Biochemistry and Biophysics
4320324728,1,Zhangzhou Normal University
4320333461,1,DCA - Nationalt Center for Fødevarer og Jordbrug
4320337348,2,NIH/National Human Genome Research Institute
4320323122,1,RNFOO
4320314731,1,UKRI
4320325352,2,SNFGE
4320317549,3,Science and Technology Bureau of Mudanjiang
4320338038,1,HPD
4320327174,1,"Secretariat of Agriculture, Livestock, Rural Development, Fisheries and Food"
4320337250,2,ISC SB RAS
4320307169,1,ASSEF
4320313158,1,ASHNR
4320334272,6,Graduate School of Arts & Sciences
4320334928,1,"INSU,CNRS"
4320333737,5,CHASP
4320331671,3,FRAM
4320306263,2,"James Graham Brown Foundation, Inc."
4320333580,1,Birmingham & the Black Country CLRN
4320336638,1,Colleges and universities in Guangzhou Yangcheng Scholars Research Project
4320314366,1,FCSH
4320314952,3,The Society of the Cincinnati
4320333434,12,"U.S. Department of Justice, The Office on Violence Against Women"
4320307114,2,BFG
4320319374,1,Solon E Summerfield Foundation Inc
4320315724,1,公益財団法人 栢森情報科学振興財団
4320337901,2,ORIP
4320329712,3,淡马锡理工学院
4320329800,2,NWMU
4320328506,1,IESO
4320333082,1,"The Graduate School, University of Minnesota"
4320314624,4,ICA
4320322445,1,OCS
4320312993,1,RSRI
4320325856,1,Konrad Lorenz University
4320330735,1,Seed Capital Fribourg Foundation
4320322132,2,ARC Centre of Excellence in Cognition and its Disorders
4320321062,3,Northern Territory Government Department of Land Resource Management
4320321266,1,KSU
4320337629,1,United States Army Space and Missile Defense Command
4320323460,2,PULS
4320312071,1,Ministry of Education-Libya
4320325590,2,Paul Schiller Foundation
4320334071,2,Department of Internal Medicine
4320321912,1,Minobrnauka
4320310230,1,"W. W. Grainger, Inc."
4320331705,5,Max-Planck ETH Center for Learning Systems
4320335242,1,National Agency for Agricultural Research
4320306682,2,"Endowment For Health, Inc."
4320316506,1,AIChE
4320325850,1,University of Stuttgart
4320311453,12,Parkinsons NSW
4320335544,2,Manfred Donike Institut für Dopinganalytik e.V.
4320323067,1,Northern Jiaotong University
4320338376,25,Koordination von Forschungsprogrammen in Nichtgemeinschaftsländern
4320326305,1,"Bavarian Ministry for Food, Agriculture and Forestry"
4320324422,2,Alice Brenaa Memorial Foundation
4320336397,2,"Центр математических наук, применяемый в промышленности"
4320334098,6,U.S. Department of Energy (DOE) Office of Indian Energy Policy and Programs
4320322932,2,MU
4320330037,3,MRC-PHE Centre for Environment & Health
4320327759,1,Norwegian Agency for Digital Learning in Higher Education
4320321655,2,Science & Technology Development Fund
4320338360,6,Scienze socio-economiche e umanistiche
4320317060,2,"Coverys Community Healthcare Foundation, Inc."
4320332032,1,TCRN
4320328750,2,WNMC
4320336791,2,臺大新興物質與前瞻元件中心
4320313988,2,University Ca' Foscari of Venice
4320329369,2,University College Copenhagen
4320332023,1,The John Charnley Trust
4320338456,7,U.S. Army Combat Capabilities Development Command (DEVCOM) Army Research Laboratory
4320328630,1,NEURAXPHARM Arzneimittel GmbH
4320306871,2,National Association for the Study and Prevention of Tuberculosis
4320332219,9,"U. S. Department of Education, Office of Special Education and Rehabilitative Services"
4320312852,2,The University of Alabama
4320306419,1,Wells Fargo & Company
4320337312,6,Institute of Mathematics of the University of Granada
4320336155,6,"Sidney M. Edelstein Center, HUJI"
4320329214,2,广西科技大学
4320329710,2,秀傳醫療體系
4320324816,1,Paderborn University
4320332744,2,CERSI
4320334702,2,TRADE
4320326082,1,Region of Puglia
4320337019,1,"Science and Technology on Surface Physics and Chemistry Laboratory, CAEP"
4320332322,12,"Institute on Ethnicity, Culture, and the Modern Experience, Rutgers"
4320327202,1,ITU
4320324852,1,NJU
4320328541,4,Научно-исследовательский институт ядерной физики МГУ был основан
4320328916,1,"Hunan Provincial Key Laboratory of Functional Metal-Organic Compounds, HYNU"
4320306239,5,Conquer Cancer Foundation of the American Society of Clinical Oncology
4320333820,5,MIRDC
4320332802,2,NPM
4320321335,1,BNUE
4320310160,4,U of A
4320314840,3,TLOAF
4320336270,2,NMCRL
4320315565,1,IFNT
4320322596,5,ТАУ
4320318850,5,森永乳業
4320323382,1,UJ
4320310890,2,Avalon
4320335061,2,Forskningsrådet för Kultur och Samhälle
4320330661,2,济南市环境研究院
4320316883,2,Shenyang Natural Science Foundation of China
4320331470,1,Forestry Corporation of NSW
4320314677,1,Mining History Association Inc
4320309799,1,The John Merck Fund
4320325080,1,RadForsk
4320317204,4,ITQ
4320328283,1,VGVZ Nederland
4320314381,6,GBS-CIDP Foundation International
4320314842,1,EDWIN S WEBSTER FOUNDATION
4320331996,3,Chagnon Foundation
4320320691,1,DST
4320325335,1,German Alzheimer Society
4320317937,2,"Fuji Pharma Co.,Ltd."
4320315139,2,"T and E, Inc."
4320315883,1,Marine Alliance for Science & Technology for Scotland
4320317195,1,日医工株式会社
4320315092,2,DSF
4320306927,4,Dedalus Foundation Inc
4320331646,3,Karl Landsteiner Privatuniversität
4320313720,3,The NCAA
4320306927,5,Dedalus
4320334318,1,HERC
4320337006,4,Institute for Molecular and Cellular Regulation
4320318339,4,香港恒生大學
4320320858,1,UCD
4320337722,1,"AFRRI, USU"
4320338223,4,Directorate General of Research
4320317559,2,GEM
4320330918,1,蚌埠学院
4320310497,9,Inflammatory Bowel Disease Center
4320326872,1,LASG
4320310463,1,CSRC
4320311495,1,Danny Federici Melanoma Fund
4320318286,2,Handelshøjskolen i København
4320307613,1,JBJ Soul Foundation
4320323098,1,JU
4320308883,4,US/Israel Binational Agricultural Research and Development Fund
4320307313,1,"Interstitial Cystitis Association of America, Inc."
4320331819,2,Peretti Foundation
4320308297,3,Craig H Neilsen Foundation
4320309222,1,Benjamin and Mae Swig Foundation
4320332988,3,SCar
4320312815,4,"National Academy of Neuropsychology, Inc."
4320324908,1,Hans and Nora Burchard's Foundation
4320313320,3,Minnesota Environment & Natural Resources Trust Fund
4320335062,1,Forskningsrådet för Biovetenskap och Miljö
4320323366,3,Goethe-Universität
4320307933,3,Kingston
4320311021,1,Von Behring-Röntgen-Foundation
4320306113,3,US Department of State
4320332688,2,Irvine
4320325353,1,福建农林大学
4320314658,5,The MPS Society
4320324727,1,SUT
4320315477,1,HSNM
4320319206,2,LHSF
4320324722,2,Ilmenau University of Technology
4320314565,1,Elmer L. & Eleanor J. Andersen Foundation
4320334922,2,IAE
4320312161,2,Massachusetts Charitable Eye and Ear Infirmary
4320321739,1,"National Council of Science and Technology, Mexico"
4320315211,4,ASA UK
4320307240,2,The Emily Dorfman Foundation for Children
4320314346,3,The Cosmetic Surgery Foundation
4320313966,1,Universitas Catholica Cameruniae
4320332411,3,US BOR
4320330001,2,Ant
4320309115,2,CDA
4320321407,1,Aalto School of Chemical Technology
4320306741,1,The JM Foundation
4320335947,2,UKE
4320328222,3,CIBER in Diabetes and Associated Metabolic Disorders
4320309581,1,Timothy Lindenfelser
4320306586,4,The Judith & Jean Pape Adams Charitable Foundation
4320332330,7,"Columbia University, Lamont-Doherty Earth Observatory"
4320314417,2,AARS
4320327473,2,Science and Technology Department of Liaoning Province
4320307135,1,AAE Foundation for Endodontics
4320311739,3,UR
4320316979,1,دانشگاه علوم کشاورزی و منابع طبیعی ساری
4320318362,3,KTU
4320333589,1,ESTCP
4320331278,2,Australia and New Zealand Breast Cancer Trials Group
4320338348,6,"H2020 GESELLSCHAFTLICHE HERAUSFORDERUNGEN - Klimaschutz, Umwelt, Ressourceneffizienz und Rohstoffe"
4320328493,2,IUNG-PIB
4320333895,1,RCDC
4320334590,6,WRC
4320311614,2,UdeS
4320323588,2,Celal Bayar University
4320307255,2,EHRSI
4320330612,1,BRC
4320316148,1,SEN
4320333199,1,Penn State Materials Research institute
4320306124,3,ALA American Library Association
4320323206,1,FUNTAC
4320319275,8,Palestine Technical University
4320333196,1,ACE
4320314621,1,Heart and Stroke Foundation of B.C. & Yukon
4320318688,1,HFF
4320330708,1,বাংলাদেশ বিজ্ঞান একাডেমি
4320331103,2,LUAS
4320308625,4,FAMRI
4320317605,1,Science and Technology Bureau of Kunming
4320312090,1,AHNS
4320315368,4,HIDA
4320308223,1,Ameren Corporation
4320320051,11,FUNDACIÓN DEL SÍNDROME DE WILLIAMS LTD
4320328324,1,上海申康医院发展中心
4320325096,2,Busan Sungmo Eye Hospital
4320332237,1,CASBS at Stanford
4320320082,1,FSID
4320317966,2,"An Roinn Comhshaoil, Aeráide agus Cumarsáide"
4320314895,1,TRF
4320334100,2,TcSUH
4320331825,1,Nitte Mahalinga Adyanthaya Memorial Institute of Technology
4320309155,3,"Lymphatic Education & Research Network, Inc."
4320332340,6,Warren Center
4320314360,3,Endangered Language Fund Inc.
4320337634,1,"Ethicon US, LLC."
4320322522,1,山东科技大学
4320337472,4,NCATS NIH
4320331809,9,Rossy-Stiftung
4320318279,2,Universiti Curtin Malaysia
4320309259,1,NYF
4320336964,8,Center in Cognitive Interactive Technology at Bielefeld University
4320329518,2,福建省妇幼保健院
4320330172,1,国家建筑技术工程研究中心
4320334061,1,서울대학교 의과대학
4320337207,3,Bushfire and Natural Hazards CRC
4320308019,1,CDE
4320335353,1,National Science Foundation
4320313230,1,GHS
4320308715,7,NASA ND Space Grant
4320337791,2,AFOTEC
4320326714,1,"Department of Health, Guizhou Province"
4320332784,10,"USDA, Food Safety Inspection Service"
4320331009,3,MEFP
4320317961,1,SEB
4320310992,9,جامعة برن
4320332376,3,NASA Marshall
4320338503,3,EOARD
4320309834,2,CARF
4320338027,2,Division of Science and Harvard
4320334417,5,Oregon Institute of Occupational Health Sciences at OHSU
4320318367,2,Regional Health Agency of Martinique
4320338272,3,分子医学研
4320310798,2,BC Ministry of Agriculture and Lands
4320326346,2,SAFDOR
4320308849,1,KP
4320331478,1,ESIG
4320330606,2,SEIN
4320313429,6,"BREAST CANCER COALITION OF ROCHESTER, INC."
4320310151,1,DFCI
4320324810,1,AHDB
4320306789,1,TOF
