institution_id,funder_seq,funder_id
170897317,4,4320310335
2802630050,1,4320336143
4362561690,60,4320317075
95297979,1,4320319874
4210131830,1,4320319969
4210144908,2,4320325370
4210136126,1,4320319981
4210160359,1,4320334815
2802237209,1,4320324416
1279571640,1,4320306219
1309140791,1,4320328431
4210104167,1,4320309115
2803062987,1,4320317616
4210146551,1,4320329607
4210138351,1,4320330767
2802204017,1,4320318057
3129486149,1,4320330148
4210139420,1,4320311200
4210127218,1,4320315466
164421362,1,4320312288
97018004,6,4320332351
1293800211,1,4320310555
86773799,4,4320311325
168635309,5,4320334619
197323543,3,4320322907
156975533,1,4320309328
4210161815,1,4320320508
4210111616,1,4320329538
102398690,9,4320323236
4210148024,1,4320332569
2802017950,1,4320322837
2799293361,1,4320321448
41960970,1,4320322343
4210119557,1,4320320075
4210120079,1,4320337391
4210113726,1,4320320142
4210164985,1,4320336895
4210132520,1,4320324913
2800995106,1,4320308984
1283576576,1,4320316505
4210110746,1,4320320184
4210149319,1,4320307224
23732399,2,4320311311
95858998,1,4320322194
36258959,1,4320308589
4210154156,2,4320323977
2799477901,1,4320308165
4210122518,1,4320306147
159107703,1,4320310235
1295876152,1,4320315638
4210142209,1,4320317490
110360157,1,4320330152
4210119754,1,4320306423
4210118880,1,4320306687
4210091857,2,4320311942
33858575,1,4320325453
189731429,1,4320308518
2799374513,1,4320324401
1316690553,1,4320337811
115925769,1,4320320208
28022161,9,4320335045
2800722420,2,4320322608
4210140425,1,4320319391
4210086920,1,4320325384
1301553790,1,4320316949
4210154521,1,4320322007
4210105927,1,4320317056
4210097566,1,4320337368
133978751,1,4320317845
240666556,1,4320321420
173538901,1,4320312024
4210165994,1,4320322588
4210102019,1,4320307243
4210107780,1,4320329797
2800136903,2,4320311079
4210164926,1,4320327426
4210164797,1,4320322635
204331812,1,4320323304
4210141573,1,4320323816
157725225,12,4320337613
201448701,3,4320311342
2802594231,1,4320314032
85430964,1,4320322383
4210109646,1,4320320227
4210157920,1,4320308735
4210133555,1,4320319075
4210131281,1,4320309176
73685970,1,4320318276
4210107009,1,4320306086
4210164644,1,4320308806
4210145527,2,4320323997
4210113305,1,4320310473
209244073,1,4320307893
4210129162,1,4320321914
2801523276,1,4320321454
129604602,3,4320323141
4210122217,1,4320318253
2801120809,1,4320328002
4210106611,1,4320322789
4210100539,1,4320321134
4210151944,1,4320321495
4210106429,1,4320308911
4210095098,1,4320308523
46000314,1,4320324982
8991828,1,4320321375
4210127568,1,4320335828
1285764155,2,4320307014
2801566027,1,4320308096
4210090035,1,4320321427
4210165618,1,4320316688
183067930,2,4320322999
4210142848,1,4320322661
40734275,1,4320323369
4210130282,2,4320311411
4210121014,1,4320309085
146230289,1,4320315971
4210088961,1,4320335211
4210102839,1,4320322620
4210162934,1,4320306695
4210160489,1,4320321872
4210145107,1,4320326802
198972184,1,4320326258
2800243961,1,4320320086
54001450,1,4320326528
4210123598,1,4320320113
1304157459,1,4320311250
4210088255,1,4320312256
884693733,1,4320320629
5023651,1,4320310638
47838141,1,4320312021
4210090346,1,4320324035
187986737,1,4320331484
4210107681,1,4320316244
185261750,2,4320321092
190242452,1,4320325068
85686399,1,4320318972
185261750,3,4320322015
56590836,6,4320335163
4210144486,1,4320324254
81556334,1,4320311327
145673806,1,4320324750
4362561690,107,4320326574
139185249,1,4320329158
78277041,1,4320327688
882086214,1,4320319353
1305429384,1,4320307774
63966007,2,4320332275
2800033600,1,4320324142
81365321,1,4320311672
4210145423,1,4320323620
36194607,1,4320306318
205783295,7,4320332507
1305343817,1,4320308144
4210139781,1,4320332547
4210135429,1,4320324608
4210152868,1,4320320165
4210121827,1,4320320019
4210127387,1,4320321770
4210129178,1,4320320172
864622339,1,4320323759
4210142155,1,4320310643
4210110768,1,4320321162
4210164202,1,4320312512
1280259254,1,4320307611
139322472,1,4320322757
901403493,1,4320309479
4210142818,1,4320306680
4210144929,1,4320306591
2841861,1,4320330528
8204097,2,4320335116
4210156066,1,4320326949
2801641283,1,4320317384
82930923,1,4320310089
4210147767,1,4320322242
180857899,5,4320309250
2800842121,7,4320337483
4210123940,1,4320321868
4210158683,1,4320306686
4210161102,1,4320316279
4210140718,1,4320322426
1648549,2,4320334931
4210148238,1,4320323807
4210141868,1,4320328686
4210155547,1,4320326159
52989892,1,4320327391
4210141337,1,4320337402
4210142610,1,4320312968
4210099079,1,4320338096
4210142506,1,4320328042
11893660,1,4320321175
2801261953,1,4320333468
168161088,1,4320308275
4210088152,1,4320308771
4210148971,2,4320321982
2800330944,1,4320308332
4210113618,1,4320314817
4210134067,1,4320320297
2801339483,1,4320306159
3129686679,1,4320330317
160003610,1,4320313809
235120680,1,4320313956
4210133640,1,4320307635
130701444,5,4320332869
28469333,1,4320319651
4210101858,1,4320319909
1302736544,2,4320324203
4210092783,1,4320337219
245308123,1,4320319271
4210088921,1,4320309667
2801332138,1,4320314178
19833938,1,4320310405
4210099248,1,4320318138
60053951,1,4320334905
193170854,1,4320310948
4210124063,1,4320306424
4210134006,1,4320309505
1310019138,3,4320309179
2801867554,1,4320320101
4210153771,1,4320320483
2801578990,1,4320309270
4210106489,1,4320337338
124326101,1,4320316355
163902620,1,4320322788
99364266,1,4320327867
4210157213,1,4320322914
3131981448,1,4320314067
192805215,2,4320335014
4210154057,1,4320338095
4210140820,1,4320322883
4210100903,1,4320320734
4210105946,1,4320328106
4210107197,1,4320320733
68207295,1,4320318526
4210107349,1,4320325024
135117807,1,4320311614
4210113968,1,4320308264
4210134714,1,4320307212
78748561,1,4320307887
2800297959,1,4320321554
4210104782,1,4320321873
4210091014,2,4320322127
111088046,2,4320309647
2800719740,1,4320312007
4210096275,2,4320309583
4210140269,1,4320322528
4210134523,1,4320324721
4210135483,1,4320327376
4210153129,1,4320310780
137902535,3,4320310013
82767444,1,4320311265
4210132759,1,4320328050
4210148592,1,4320316749
4210116342,2,4320332820
1293303778,1,4320318195
4210114589,1,4320306785
40597779,1,4320327642
164956901,1,4320316375
3132095805,1,4320310878
9086337,1,4320324098
4210111443,1,4320314665
4210093374,2,4320307114
2838142686,1,4320311410
4210151028,1,4320324025
2800530175,1,4320322256
4210086414,1,4320322251
3130945570,1,4320330444
4210117608,2,4320309922
171210897,2,4320335044
4210151498,1,4320321815
200966471,1,4320307835
197251160,2,4320334765
4210151925,1,4320325372
4210132431,1,4320329144
108785884,3,4320310312
4210137858,1,4320310508
464993,1,4320323864
4210143337,1,4320307591
154202486,1,4320311029
889077771,1,4320328570
4210135949,1,4320315651
5124864,1,4320320915
4210111283,3,4320311153
28166907,1,4320322315
154425047,5,4320334605
104338594,1,4320321371
151050371,1,4320321240
145894827,1,4320325536
4210164908,1,4320308496
203339264,1,4320326804
157394403,2,4320309840
209803261,1,4320329009
2801101592,1,4320322479
2799320822,1,4320311624
2801652605,1,4320307125
2801322379,1,4320312154
138006243,5,4320310160
2799512598,1,4320332791
4210136004,1,4320319621
4210165344,1,4320316865
4210090257,1,4320308159
924318406,1,4320322133
16655442,2,4320323339
4210126457,1,4320306325
156317336,1,4320309348
19268510,1,4320308258
107139324,1,4320310730
4210151845,1,4320330969
4210130350,1,4320313744
16655442,3,4320323341
240202130,1,4320322154
2800193411,1,4320306612
4362561690,18,4320308001
4210109553,1,4320320231
17866349,2,4320335230
3125743391,2,4320322815
4210161749,1,4320312176
110736937,1,4320323296
115891769,1,4320316964
4210098524,1,4320309663
1338293689,1,4320320636
4210106996,1,4320316872
4210116987,1,4320312569
4210161442,1,4320308891
4210105614,1,4320323881
44430492,1,4320323447
4210092242,1,4320319077
4210119029,1,4320321402
2802301566,1,4320319928
2799611596,2,4320312529
200323923,1,4320311198
4210099312,1,4320325569
2801473024,10,4320335032
4210132392,1,4320323006
188703460,3,4320324236
126596746,1,4320310970
4210098204,1,4320306803
4210164613,1,4320322022
4210139939,1,4320324311
189590672,1,4320310061
305386,1,4320307808
123387679,2,4320324119
188592606,1,4320311107
2801816099,1,4320321964
137317281,1,4320313601
4210130129,1,4320322330
2799905417,1,4320310176
4210103242,1,4320321341
2801961127,1,4320308192
866009140,1,4320320288
2802091860,1,4320308186
4210167309,1,4320306470
4210151911,1,4320306433
4210157047,1,4320323496
4210104482,1,4320317069
2802002022,2,4320307054
4210091220,2,4320308048
4210135469,1,4320312190
43742981,1,4320333049
4210112818,1,4320306450
2799938689,2,4320320018
2801918817,1,4320308641
302099661,1,4320329573
4210130760,2,4320315365
4210086807,1,4320322067
12079687,1,4320320988
4210102077,1,4320308205
2802484659,1,4320320742
118347636,3,4320334721
4210160574,1,4320320542
4210091013,3,4320334841
4210145810,1,4320326824
35510649,1,4320323043
227486990,1,4320329149
4210121598,1,4320321044
1344073410,1,4320306082
136388765,1,4320309638
22299242,2,4320323365
4210160139,1,4320319901
53411278,1,4320325093
2802093796,1,4320311346
2799301538,1,4320310289
4210154660,1,4320308311
2799303410,1,4320323958
4210165888,1,4320315801
4210142133,1,4320315367
39815113,1,4320309035
1310803873,1,4320308017
4210162703,2,4320320317
4210120305,1,4320328199
4210147390,1,4320312212
2799306188,1,4320319198
2802744477,1,4320330055
4210126567,1,4320312393
4210132573,1,4320308358
4210118364,1,4320322952
26072440,1,4320318053
212119943,2,4320332754
4210161702,1,4320334701
4210126758,1,4320319401
97231232,1,4320326471
2802581893,3,4320338322
120938084,1,4320323578
4210125419,1,4320314638
76920116,2,4320324284
165390105,1,4320324956
4362561690,100,4320324086
